"Domain"	"Status"	"Study.Name"	"Genome.Name.Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID."	"Phylum"	"Genus"	"Species"	"NCBI.Taxon.ID"	"RefSeq.Project.ID"	"NCBI.Project.ID"	"Genome.Completeness.."	"Culture.Type"	"Cultured"	"Depth"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Ecotype"	"Habitat"	"Isolation"	"Metabolism"	"Motility"	"Oxygen.Requirement"	"Phenotype"	"Salinity"	"Specific.Ecosystem"	"Sporulation"	"Temperature.Range"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"GC.....assembled"	"CDS.......assembled"	"rRNA.Count.....assembled"	"tRNA.Count.....assembled"	"Pseudo.Genes..."	"Horizontally.Transferred.."
"GCF_000018605.1_ASM1860v1"	"Bacteria"	"Finished"	"Thermotogales"	"Petrotoga mobilis SJ95"	"DOE Joint Genome Institute (JGI)"	641228500	"Thermotogae"	"Petrotoga"	"Petrotoga mobilis"	403833	58747	17679	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Oceanic"	"Marine"	""	"Aquatic, Marine, Oil fields"	"Oil field water; North Sea, Norwegian sector"	""	"Motile"	"Anaerobe"	""	"Halotolerant"	"Oil-contaminated"	"Nonsporulating"	"Thermophile"	2169548	2012	0.34	97.17	6	48	2.83	23.31
"GCF_000023325.1_ASM2332v1"	"Bacteria"	"Finished"	"DOEM_782025"	"Kosmotoga olearia TBF 19.5.1"	"DOE Joint Genome Institute (JGI)"	644736379	"Thermotogae"	"Kosmotoga"	"Kosmotoga olearia"	521045	59205	29419	NA	"Isolate"	"Yes"	""	"Engineered"	"Industrial production"	"Unclassified"	"Unclassified"	""	"Aquatic, Fresh water, Marine"	"Troll B Oil Platform in the North Sea"	""	"Motile"	""	""	""	"Unclassified"	""	"Mesophile"	2302126	2221	0.42	97.66	6	46	2.3	15.53
"GCA_000147715.3_ASM14771v3"	"Bacteria"	"Finished"	"Sequencing the genome of Thermotogales strain mesG1.Ag.4.2 (Mesotoga prima MesG1AG4.2) a member of the putative mesotoga lineage."	"Mesotoga prima MesG1AG4.2"	"DOE Joint Genome Institute (JGI)"	2510065086	"Thermotogae"	"Mesotoga"	"Mesotoga prima"	660470	52599	48995	NA	"Isolate"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2975953	2736	0.45	97.22	6	46	3.14	0.62
"GCF_000212395.1_ASM21239v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Thermodesulfobium narugense Na82, DSM 14796"	"DOE Joint Genome Institute (JGI)"	2504756006	"Firmicutes"	"Thermodesulfobium"	"Thermodesulfobium narugense"	747365	66601	46673	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Hot spring"	"Narugo hot spring; Japan"	"Sulfate reducer"	"Motile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	1898865	1910	0.34	97.07	6	47	2.46	58.38
"GCF_000020965.1_ASM2096v1"	"Bacteria"	"Finished"	"Dictyoglomus thermophilum H-6-12, ATCC 35947"	"Dictyoglomus thermophilum H-6-12, ATCC 35947"	"J. Craig Venter Institute (JCVI)"	643348542	"Dictyoglomi"	"Dictyoglomus"	"Dictyoglomus thermophilum"	309799	59439	30731	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Slightly alkaline Tsuetae Hot spring in Kumamoto Prefecture in Japan"	""	"Nonmotile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	1959987	1964	0.34	97.35	6	46	0	10.08
"GCF_000021645.1_ASM2164v1"	"Bacteria"	"Finished"	"Obsidian Hot Spring Microbial Community Genomics"	"Dictyoglomus turgidum DSM 6724"	"DOE Joint Genome Institute (JGI)"	643348543	"Dictyoglomi"	"Dictyoglomus"	"Dictyoglomus turgidum"	515635	59177	29175	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Hot spring, Uzon volcano caldera; USSR, Kamchatka"	"Cellulose degrader"	""	"Anaerobe"	""	"Undefined"	"Unclassified"	""	"Thermophile"	1855560	1865	0.34	97.21	6	46	3.7	7.61
"GCF_000266925.1_ASM26692v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Anaerobaculum mobile NGA, DSM 13181"	"DOE Joint Genome Institute (JGI)"	2509601011	"Synergistetes"	"Anaerobaculum"	"Anaerobaculum mobile"	891968	0	53351	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Aquatic, Wastewater"	"Anaerobic wool-scouring wastewater treatment lagoon"	""	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2160700	2109	0.48	97.34	6	48	1.61	7.78
"GCF_000233775.1_ASM23377v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Thermovirga lienii Cas60314, DSM 17291"	"DOE Joint Genome Institute (JGI)"	2505119043	"Synergistetes"	"Thermovirga"	"Thermovirga lienii"	580340	77129	33163	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Oil reservoir"	""	"Aquatic, Oil fields"	"Production water from an oil well, Norway"	""	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	1999646	1973	0.47	97.01	9	47	1.93	12.27
"GCF_000024905.1_ASM2490v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Thermanaerovibrio acidaminovorans Su883, DSM 6589"	"DOE Joint Genome Institute (JGI)"	646311961	"Synergistetes"	"Thermanaerovibrio"	"Thermanaerovibrio acidaminovorans"	525903	41925	29531	NA	"Isolate"	"Yes"	""	"Engineered"	"Biotransformation"	"Unclassified"	"Unclassified"	""	"Bioreactor"	"Upflow anaerobic sludge bed reactor of a sugar refinery, Breda, the Netherlands"	""	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	1848474	1828	0.64	96.55	9	50	1.48	3.34
"GCA_000210715.1_ASM21071v1"	"Bacteria"	"Finished"	"Human Microbiome Project (HMP) Reference Genomes"	"Synergistetes bacterium SGP1"	"Wellcome Trust Sanger Institute"	650377983	"Synergistetes"	"Fretibacterium"	"Fretibacterium fastidiosum"	651822	0	45959	NA	""	"No"	""	"Host-associated"	"Human"	"Oral"	"Digestive system"	""	"Host, Human oral cavity"	"Human oral isolate"	""	"Motile"	"Anaerobe"	""	""	"Unclassified"	""	"Mesophile"	2728333	1476	0.63	97.22	0	40	0	32.11
"GCF_000025885.1_ASM2588v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Aminobacterium colombiense ALA-1, DSM 12261"	"DOE Joint Genome Institute (JGI)"	646564503	"Synergistetes"	"Aminobacterium"	"Aminobacterium colombiense"	572547	47083	32587	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Aquatic, Wastewater treatment plant"	"Anaerobic lagoon of dairy wastewater treatment plant in Colombia"	""	"Nonmotile"	"Obligate anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	1980592	1971	0.45	97.11	9	46	1.93	8.68
"GCF_000160495.1_ASM16049v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Selenomonas sputigena DSM 20758"	"DOE Joint Genome Institute (JGI)"	2504557006	"Firmicutes"	"Selenomonas"	"Selenomonas sputigena"	546271	0	51247	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Oral"	"Digestive system"	""	"Host, Human, Human oral cavity"	"Subgingival sulcus"	""	"Motile"	"Anaerobe"	"Pathogen"	""	"Unclassified"	""	"Mesophile"	2568361	2366	0.57	97.13	12	53	1.82	0.21
"GCF_000025305.1_ASM2530v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Acidaminococcus fermentans VR4, DSM 20731"	"DOE Joint Genome Institute (JGI)"	646311901	"Firmicutes"	"Acidaminococcus"	"Acidaminococcus fermentans"	591001	43471	33685	NA	"Isolate"	"Yes"	""	"Host-associated"	"Animal"	"Unclassified"	"Digestive system"	""	"Host, Pig"	"Pig gut"	""	"Nonmotile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	2329769	2174	0.56	96.23	18	60	3.04	12.1
"GCF_000230275.1_ASM23027v1"	"Bacteria"	"Finished"	"Acidaminococcus intestini RyC-MR95"	"Acidaminococcus intestini RyC-MR95"	"ANRT"	2511231106	"Firmicutes"	"Acidaminococcus"	"Acidaminococcus intestini"	568816	74445	32215	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Skin"	""	"Host, Human intestinal microflora"	"perianal abscess of a diabetic patient"	""	""	"Anaerobe"	""	""	"Unclassified"	""	"Mesophile"	2487765	2469	0.5	97.53	9	52	0.28	1.62
"GCF_000024945.1_ASM2494v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Veillonella parvula Te3, DSM 2008"	"DOE Joint Genome Institute (JGI)"	646311965	"Firmicutes"	"Veillonella"	"Veillonella parvula"	479436	41927	21091	NA	"Isolate"	"Yes"	""	"Host-associated"	"Animal"	"Unclassified"	"Digestive system"	""	"Host"	"Intestinal tract"	""	"Nonmotile"	"Anaerobe"	"Nonfermentative, Pathogen"	""	"Unclassified"	"Nonsporulating"	"Mesophile"	2132142	1923	0.39	96.67	12	48	0.78	0.88
"GCF_000092945.1_ASM9294v1"	"Bacteria"	"Finished"	"Extremophiles"	"Thermincola potens JR"	"DOE Joint Genome Institute (JGI)"	646564578	"Firmicutes"	"Thermincola"	"Thermincola potens"	635013	48823	41467	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Mud, Sludge, Wastewater"	"sludge reactor East Bay, MUD, Oakland, CA"	""	"Nonmotile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	3157416	3081	0.46	97.86	9	54	2.14	20.16
"GCF_000018425.1_ASM1842v1"	"Bacteria"	"Finished"	"Desulforudis audaxviator MP104C"	"Candidatus Desulforudis audaxviator MP104C"	"DOE Joint Genome Institute (JGI)"	641522610	"Firmicutes"	"Candidatus Desulforudis"	"Candidatus Desulforudis audaxviator"	477974	59067	21047	NA	""	"No"	""	"Environmental"	"Terrestrial"	"Mine"	"Geologic"	""	"Aquatic, Deep subsurface"	"Fracture water from a borehole at a depth of 2.8 km in a South African gold mine"	"Nitrogen fixation, Sulfate reducer"	"Motile"	"Anaerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	2349476	2293	0.61	97.65	6	45	3.58	26.56
"GCF_000024605.1_ASM2460v1"	"Bacteria"	"Finished"	"Ammonifex degensii KC4 Proposal # CSP2006-060510"	"Ammonifex degensii KC4"	"DOE Joint Genome Institute (JGI)"	646311904	"Firmicutes"	"Ammonifex"	"Ammonifex degensii"	429009	41053	12390	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Neutral volcanic hot spring"	""	"Motile"	"Anaerobe"	""	""	"Unclassified"	""	"Thermophile"	2157067	2239	0.59	97.41	6	48	4.51	48.68
"GCF_000016165.1_ASM1616v1"	"Bacteria"	"Finished"	"Desulfotomaculum reducens MI-1"	"Desulfotomaculum reducens MI-1"	"DOE Joint Genome Institute (JGI)"	640069310	"Firmicutes"	"Desulfotomaculum"	"Desulfotomaculum reducens"	349161	58277	13424	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Sediment"	""	"Fresh water, Sediment"	"Heavy metal-contaminated sediment collected at the Mare Island Naval Shipyard on the San Francisco Bay"	"Chromium reducer, Metal reducer, Sulfate reducer, Uranium reducer"	"Motile"	"Anaerobe"	"Non-Pathogen"	""	"Unclassified"	"Sporulating"	"Mesophile"	3608104	3488	0.42	95.3	27	71	1.38	8.86
"GCF_000215085.1_ASM21508v1"	"Bacteria"	"Finished"	"CSP_300132_795700"	"Desulfotomaculum ruminis DL, DSM 2154"	"DOE Joint Genome Institute (JGI)"	650716033	"Firmicutes"	"Desulfotomaculum"	"Desulfotomaculum ruminis"	696281	67507	47605	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Foregut"	"Digestive system"	""	"Animal gastrointestinal tract, Fresh water, Mud, Sea water, Soil"	"rumen of hay-fed sheep"	"Hydrogen sulfide gas release, Sulfate reducer"	"Motile"	"Obligate anaerobe"	""	""	"Rumen"	"Sporulating"	"Mesophile"	3969014	3986	0.47	97.87	15	66	2.63	10.16
"GCA_000010565.1_ASM1056v1"	"Bacteria"	"Finished"	"Pelotomaculum thermopropionicum SI"	"Pelotomaculum thermopropionicum SI"	"ANRT"	640427128	"Firmicutes"	"Pelotomaculum"	"Pelotomaculum thermopropionicum"	370438	58877	19023	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Sludge, Wastewater"	"Thermophilic upflow anaerobic sludge blanket reactor"	"Propionate-oxidizing"	""	"Anaerobe"	"Non-Pathogen"	""	"Unclassified"	"Sporulating"	"Thermophile"	3025375	3018	0.53	96.75	6	51	0	17.93
"GCA_000233715.3_ASM23371v3"	"Bacteria"	"Finished"	"CSP_300132_795700"	"Desulfotomaculum gibsoniae Groll, DSM 7213"	"DOE Joint Genome Institute (JGI)"	2508501002	"Firmicutes"	"Desulfotomaculum"	"Desulfotomaculum gibsoniae"	767817	76945	59873	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Sediment"	"Freshwater"	""	"Animal gastrointestinal tract, Aquatic, Fresh water, Mud, Sea water, Soil"	"freshwater mud"	"Hydrogen sulfide gas release, Sulfate reducer"	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	4855529	4762	0.45	97.98	24	59	6.59	13.84
"GCF_000024205.1_ASM2420v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Desulfotomaculum acetoxidans 5575, DSM 771"	"DOE Joint Genome Institute (JGI)"	644736351	"Firmicutes"	"Desulfotomaculum"	"Desulfotomaculum acetoxidans"	485916	59109	27947	NA	"Isolate"	"Yes"	""	"Engineered"	"Solid waste"	"Unclassified"	"Solid animal waste"	""	"Animal manure"	"Piggery waste in Gottingen, Germany"	"Hydrogen sulfide gas release, Sulfate reducer"	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	4545624	4471	0.42	97.74	30	68	6.78	12.97
"GCF_000012865.1_ASM1286v1"	"Bacteria"	"Finished"	"Carboxydothermus hydrogenoformans Z-2901"	"Carboxydothermus hydrogenoformans Z-2901"	"J. Craig Venter Institute (JCVI)"	637000060	"Firmicutes"	"Carboxydothermus"	"Carboxydothermus hydrogenoformans"	246194	57821	253	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Hot swamp from Kunashir Island, Russia"	""	""	"Anaerobe"	""	""	"Unclassified"	""	"Hyperthermophile"	2401520	2738	0.42	96.42	12	50	0.73	6.32
"GCF_000092405.1_ASM9240v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Syntrophothermus lipocalidus DSM 12680"	"DOE Joint Genome Institute (JGI)"	646564577	"Firmicutes"	"Syntrophothermus"	"Syntrophothermus lipocalidus"	643648	49527	37873	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Bioreactor, Sludge"	"anaerobic granular sludge, thermophilic UASB reactor"	"Syntrophic"	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2405559	2440	0.51	97.75	6	46	2.95	17.21
"GCF_000014725.1_ASM1472v1"	"Bacteria"	"Finished"	"Methanogenic Syntropic Consortium"	"Syntrophomonas wolfei Goettingen, DSM 2245B"	"DOE Joint Genome Institute (JGI)"	637000316	"Firmicutes"	"Syntrophomonas"	"Syntrophomonas wolfei"	335541	58179	13014	NA	"Isolate"	"Yes"	""	"Engineered"	"Biotransformation"	"Unclassified"	"Unclassified"	""	"Sludge, Wastewater"	"Anaerobic digester sludge; Germany, Gottingen"	"Fatty-acid-oxidizer"	"Motile"	"Anaerobe"	"Nonphototrophic"	""	"Unclassified"	"Nonsporulating"	"Mesophile"	2936195	2677	0.45	96.15	19	46	2.61	15.91
"GCF_000013105.1_ASM1310v1"	"Bacteria"	"Finished"	"Moorella thermoacetica ATCC 39073"	"Moorella thermoacetica ATCC 39073"	"DOE Joint Genome Institute (JGI)"	637000167	"Firmicutes"	"Moorella"	"Moorella thermoacetica"	264732	58051	10648	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Ponds"	"Freshwater"	""	"Fresh water, Ponds"	"Bottom of stagnant ponds"	"Acetogen, Carbon dioxide fixation"	""	"Anaerobe"	""	""	"Unclassified"	"Sporulating"	"Thermophile"	2628784	2634	0.56	95.79	3	51	2.2	23.12
"GCF_000512895.1_ASM51289v1"	"Bacteria"	"Finished"	"Halorespiring Firmicutes (WGS) - Exploring genomic plasticity of closely related dedicated degraders with diverging ecophysiological features and bioremediating capacity"	"Dehalobacter restrictus DSM 9455"	"DOE Joint Genome Institute (JGI)"	2510065016	"Firmicutes"	"Dehalobacter"	"Dehalobacter restrictus"	871738	0	66209	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	""	"PCE-dechlorinating packed-bed column; The Netherlands"	""	"Motile"	"Anaerobe"	""	""	"Contaminated"	"Nonsporulating"	"Mesophile"	2943336	2908	0.45	97.18	12	52	4.92	6.05
"GCF_000190635.1_ASM19063v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Syntrophobotulus glycolicus FlGlyR, DSM 8271"	"DOE Joint Genome Institute (JGI)"	649633098	"Firmicutes"	"Syntrophobotulus"	"Syntrophobotulus glycolicus"	645991	63343	38111	NA	"Isolate"	"Yes"	"unknown"	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Sludge, Wastewater"	"isolated from syntrophic coculture FlGlyM (DSM 6945), which was isolated from anoxic sewage sludge"	""	"Nonmotile"	"Anaerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	3406739	3439	0.46	97.99	12	54	3.46	9.22
"GCA_000255115.3_ASM25511v3"	"Bacteria"	"Finished"	"Comparative genomics of Desulfosporosinus species - Insights into the evolution and genetic blueprints of sulfate-reducing bacteria involved in wetland carbon cycling and heavy metal bioremediation"	"Desulfosporosinus acidiphilus SJ4, DSM 22704"	"DOE Joint Genome Institute (JGI)"	2506783061	"Firmicutes"	"Desulfosporosinus"	"Desulfosporosinus acidiphilus"	646529	156759	61821	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Mine"	"Geologic"	""	"Acid mine, Aquatic, Fresh water, Mud, Ponds, Sea water, Soil"	"Acid mining effluent decantation pond; France, Chessy les Mines."	"Hydrogen sulfide gas release, Sulfate reducer"	"Motile"	"Obligate anaerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	4991181	4799	0.42	97.77	25	66	3.48	8.31
"GCF_000235605.1_ASM23560v1"	"Bacteria"	"Finished"	"Comparative genomics of Desulfosporosinus species - Insights into the evolution and genetic blueprints of sulfate-reducing bacteria involved in wetland carbon cycling and heavy metal bioremediation"	"Desulfosporosinus orientis Singapore I, DSM 765"	"DOE Joint Genome Institute (JGI)"	2508501136	"Firmicutes"	"Desulfosporosinus"	"Desulfosporosinus orientis"	768706	82939	66191	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Soil at pumping station near rising main Rangoon Road"	""	""	"Anaerobe"	""	""	"Contaminated"	""	"Mesophile"	5863081	5638	0.43	97.96	24	73	4.97	6.83
