"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000266925.1_ASM26692v1" -0.0106 -0.0727 -0.1045 -0.0085 -0.0134 0.0222 6e-04 0.0246 -0.0366 0.0416 0.2517 0.0519 0.0714 0.0761 0.104 0.1957 0.1553 0.198 0.1422
"GCF_000233775.1_ASM23377v1" 0.0201 -0.0183 0.0295 0.0633 0.2151 0.1559 0.0155 0.0097 0.0161 0.1618 0.0746 0.0516 0.0254 0.1505 0.0566 0.1584 0.1721 0.0574 0.0274
"GCF_000024905.1_ASM2490v1" 0.0361 -0.022 0.0017 -0.011 0.007 -8e-04 0.0173 -0.0158 -0.006 -0.0546 0.2557 0.0127 0.0664 -0.0188 0.1386 0.2062 0.164 0.1258 0.0208
"GCA_000210715.1_ASM21071v1" -0.0236 -0.0248 -0.0767 0.0238 0.0071 -0.0314 -0.0142 0.0069 -0.02 -0.0076 -0.002 -0.0088 0.0145 0.1737 0.0331 0.2234 0.0912 0.2277 0.428
"GCF_000025885.1_ASM2588v1" -0.0183 -0.042 -0.034 0.1477 0.1483 -0.0357 -0.0267 -0.0114 0.0046 0.1796 -0.0161 0.0461 -0.0403 -0.0503 -0.0878 0.1474 0.0568 0.3158 0.1093
"GCF_000160495.1_ASM16049v1" 0.0175 0.1781 0.04 -0.064 0.0473 0.0372 0.1105 -0.023 -0.0553 0.1522 0.0052 0.1281 0.1351 0.1978 0.2062 0.0992 0.2361 0.0545 0.384
"GCF_000025305.1_ASM2530v1" -0.0047 0.2603 0.0046 -0.0249 0.0761 -0.0196 0.2554 0.1368 -0.0167 -0.0407 0.0776 0.0789 0.1993 0.0554 0.06 0.2606 0.2052 0.1707 0.1653
"GCF_000230275.1_ASM23027v1" -0.0516 0.0224 0.0227 0.0593 0.129 -0.0209 0.2736 0.008 0.3482 0.2367 0.1292 0.0704 0.2448 0.1589 0.3341 0.381 0.1091 0.3378 0.2241
"GCF_000024945.1_ASM2494v1" 0.147 -0.0287 0.4555 0.3264 0.1044 0.1477 0.1469 -0.0127 -0.0316 0.2952 0.4079 0.1639 0.2551 0.2652 0.2366 0.3825 0.2736 0.6731 0.3591
"GCF_000092945.1_ASM9294v1" -0.0219 0.0271 0.0163 0.0122 0.1313 -0.066 0.0905 -0.0044 -0.0334 0.0183 0.0591 0.1235 0.0751 0.1999 0.0515 0.1148 0.1682 0.1706 0.1177
"GCF_000018425.1_ASM1842v1" 2e-04 -0.0078 -0.0123 0.009 -0.0067 -0.0626 0.1298 -0.0062 0.0756 -0.0034 0.0253 0.0668 0.0269 0.1784 0.2242 8e-04 0.2518 0.17 0.1072
"GCF_000024605.1_ASM2460v1" -0.0131 0.0834 -0.0278 0.041 0.0093 -0.0104 0.0889 -0.0104 0.0047 -0.0091 -0.0524 -0.0128 0.0026 0.1059 -0.0241 0.1121 0.0841 0.0168 -0.0265
"GCF_000016165.1_ASM1616v1" -0.006 0.1389 -0.0122 0.257 -0.0042 -0.0033 0.1398 -0.0385 0.0567 0.0906 0.0929 0.2274 0.0275 0.2614 0.1036 0.2675 0.2084 0.4294 0.5006
"GCF_000215085.1_ASM21508v1" -0.063 -0.0679 0.0309 0.0063 0.0333 0.0987 0.2251 -0.021 0.0507 0.092 0.18 0.1257 -0.1079 8e-04 0.027 0.2277 0.1425 0.3793 0.2404
"GCA_000010565.1_ASM1056v1" -0.0067 0.0331 -0.0237 0.0227 0.0834 -0.0206 -0.1222 -0.0084 -0.0262 -0.1344 0.0462 0.1168 0.1755 0.0705 0.029 0.1145 0.2933 0.1012 0.0988
"GCA_000233715.3_ASM23371v3" 0.0182 -0.0099 -0.0176 -0.0032 0.0163 0.1227 0.1402 0.0035 0.0692 -0.024 0.0661 0.1211 0.0605 0.1487 0.1101 0.1808 0.2346 0.3035 0.165
"GCF_000024205.1_ASM2420v1" 0.0657 -0.0095 -0.0382 0.0085 0.2118 -0.0561 0.0038 -0.0033 0.0588 -0.0649 0.0561 0.1598 0.102 0.1932 0.2513 0.028 -0.0245 0.262 0.1572
"GCF_000012865.1_ASM1286v1" 0.0326 -0.0242 0.246 0.0496 0.0662 -0.0566 0.0972 -0.0177 -0.0673 -0.0829 0.1381 0.0441 0.0527 0.0079 0.1726 0.3131 0.3885 0.2569 0.4906
"GCF_000092405.1_ASM9240v1" -0.0032 -0.0255 0.0596 0.0265 -0.0264 -0.0063 0.0654 0.0428 -0.0305 -0.088 -0.0145 0.0176 0.0132 -0.0246 0.0803 -0.0044 0.2912 0.0708 0.2364
"GCF_000014725.1_ASM1472v1" 0.0157 0.006 -0.0532 -0.0142 0.0374 0.0106 0.0593 0.0235 0.1458 0.0425 -0.005 0.0656 0.0555 0.0089 0.0772 0.2817 0.2932 0.2918 0.0147
"GCF_000013105.1_ASM1310v1" 0.0194 0.0965 0.146 -0.0228 0.123 0.1026 0.0337 0.0371 0.1045 0.0087 0.0591 -0.0152 0.183 0.1067 0.0825 0.2108 0.0838 0.2242 0.2236
"GCF_000512895.1_ASM51289v1" 0.0444 -0.1077 0.0134 0.0239 0.1495 0.0855 0.1016 -0.0135 0.0341 0.0515 0.0734 0 0.0433 0.0318 0.1052 0.0911 0.0383 0.2525 0.0781
"GCF_000190635.1_ASM19063v1" 0.0542 0.0933 0.0787 0.1833 0.0581 0.0769 -0.0608 0.1092 0.0414 0.0565 0.0621 0.0569 0.1439 -0.0083 0.0219 0.2248 0.1634 0.1347 0.053
"GCA_000255115.3_ASM25511v3" 0.0342 -0.035 0.0048 -0.0018 0.1003 0.0192 -0.0137 -0.0077 0.0697 -0.0033 0.146 0.1694 -0.0422 0.1448 0.0198 0.0851 0.0476 0.0505 0.402
"GCF_000235605.1_ASM23560v1" 6e-04 -0.0264 -0.0427 -0.0146 0.0058 0.0237 -0.023 0.027 0.0838 -0.0221 0.137 0.0498 -0.013 -0.0128 -0.0234 0.1413 0.0085 0.1118 0.166
"GCA_000231385.3_ASM23138v3" 0.006 0.1113 0.0518 0.0199 0.0147 0 -0.0207 0.0322 0.3182 0.1273 0.1455 0.1568 -0.0336 -0.0193 0.013 0.0941 -0.0604 0.0233 0.3908
"GCA_000243135.3_ASM24313v3" -0.0772 -0.1014 -0.0075 0.0135 0.0888 -0.0024 0.01 -0.0607 -0.004 0.1613 0.179 0.0205 0.0723 0.0249 0.1612 0.1676 0.1036 0.0412 0.3168
"GCA_000243155.3_ASM24315v3" 0.0653 0.0426 0.0253 -0.0151 -0.0026 0.0237 0.0509 0.065 0.3512 0.1719 0.1334 -0.0088 0.0774 -0.0364 0.0211 0.2698 0.157 0.0762 0.2411
"GCF_000010045.1_ASM1004v1" 0.1406 0.2219 0.0294 0.0332 0.0132 0.0957 0.057 0.1206 0.0929 0.0952 0.0932 0.0219 0.1327 -0.0038 0.0412 0.1871 0.288 0.1478 0.1139
"GCA_000231405.3_ASM23140v3" -0.023 -0.0603 0.1836 -0.0036 0.1554 -0.0061 0.004 -0.0499 0.2405 0.1736 0.122 -0.02 0.0469 -0.0234 0.0558 0.0528 -0.0408 0.1569 0.3457
"GCF_000019165.1_ASM1916v1" 0.0993 0.0199 0.0051 0.0064 -0.0123 -0.0634 0.0919 -0.0492 0.028 0.0693 0.0625 0.0309 0.066 0.0486 0.015 0.0489 0.0364 0.1559 0.1383
"GCF_000213255.1_ASM21325v1" 0.1675 0.0617 0.0037 0.0832 -0.0121 -0.0033 -0.011 -0.0265 0.1641 -0.0576 0.1769 0.0842 0.0101 0.1915 0.0288 0.0502 -0.0293 0.1034 0.2773
"GCF_000007085.1_ASM708v1" 0.0959 0.187 0.0498 0.0012 0.2322 0.0106 -0.003 0.0087 -0.008 0.2811 0.0368 0.0448 0.1613 0.0354 0.1514 0.1447 0.0552 0.0797 0.1031
"GCA_000147695.3_ASM14769v3" 0.0683 0.0145 -0.056 0.003 0.0134 -0.0084 0.0098 8e-04 -0.0049 0.0863 -0.0282 -0.0209 0.0653 0.1802 0.1693 0.156 0.0275 -0.1012 0.1343
"GCF_000019085.1_ASM1908v1" -0.005 -0.028 -0.0469 -0.0028 0.0028 -0.0157 -0.0062 0.0074 -0.0064 0.1038 -0.0368 -0.0173 0.0252 0.1044 0.1391 0.2404 -0.0133 0.0123 0.0882
"GCF_000092965.1_ASM9296v1" -0.0138 -0.0572 0.0105 -0.0061 -0.0148 0.0105 -0.0064 -0.0268 0.2606 0.411 -0.0017 0.0071 0.0605 0.0827 0.1523 0.1489 0.0449 0.0412 -0.0031
"GCA_000189775.3_ASM18977v3" 0.0618 0.0711 0.0396 -0.0101 -0.0334 0.0219 0.0026 -0.0056 0.0606 0.1189 -0.0037 0.0192 0.0727 0.162 0.0662 0.1684 0.189 0.1957 0.1364
"GCF_000328545.1_ASM32854v1" -0.0197 -0.0142 -0.0016 -0.0084 0.0032 0.0244 -0.0014 0.0138 0.2396 -3e-04 0.0601 0.0863 0.0588 0.1031 -0.005 0.0819 0.0011 0.0245 0.1143
"GCF_000145615.1_ASM14561v1" -0.0193 -0.0237 -0.0423 -8e-04 -0.0474 0.0447 -0.0022 0.0192 0.0393 0.0402 -0.02 0.0478 0.1022 0.1002 -0.0452 -0.0224 0.0305 0.0564 0.045
"GCA_000013845.1_ASM1384v1" 0.3356 0.3914 0.4849 0.407 0.0777 -0.0681 -0.01 -0.0012 -0.0124 0.0843 0.2172 0.3027 0.3735 0.0643 0.1258 0.2932 0.3384 0.2499 0.189
"GCF_000013285.1_ASM1328v1" 0.3532 0.3651 0.5132 0.4231 0.0759 -0.0881 -0.0138 -0.0024 -0.0314 0.0724 0.2145 0.3106 0.3896 0.0462 0.1337 0.2775 0.3648 0.2733 0.1603
"GCF_000016965.1_ASM1696v1" 0.1647 0.0663 0.2905 0.1643 0.0347 0.17 0.022 -0.0044 -0.1718 0.0622 0.0647 0.0932 0.0741 0.0163 0.0682 0.0919 0.0445 0.2388 0.2085
"GCF_000020285.1_ASM2028v1" 0.3614 0.0543 0.4017 0.2365 0.0968 0.0806 0.0764 -4e-04 -0.0726 0.135 0.1529 0.2351 0.19 0.0849 0.3248 0.1781 0.2315 0.2071 0.205
"GCF_000016505.1_ASM1650v1" -0.0122 -0.0083 -0.0113 -0.012 0.1952 0.0225 0.0032 -0.0086 -0.0244 -0.0179 0.0175 0.0027 -0.0286 0.0363 0.029 0.0575 -0.0481 0.1909 0.0744
"GCF_000143685.1_ASM14368v1" 0.0217 0.0168 0.028 0.0191 0.1157 0.0771 -0.0078 0.001 -0.099 -0.0173 -0.0351 0.0297 0.0386 0.0265 0.0449 -8e-04 0.0346 0.1579 0.0898
"GCF_000007625.1_ASM762v1" 0.0819 0.4251 0.1244 0.2072 0.0919 0.0987 0.033 0.0125 -0.0281 0.0286 -0.0235 0.1304 0.0736 0.0346 0.1647 -0.0537 0.0464 0.1252 0.1909
"GCF_000019545.1_ASM1954v1" 0.0597 0.1437 0.1417 0.1096 0.0022 0.0446 0.0082 -0.0056 -0.0287 0.1164 -0.0064 0.1427 0.0659 0.0039 0.1081 -0.0231 0.0746 0.1754 0.0492
"GCF_000204565.1_ASM20456v1" 0.159 0.366 0.3154 0.3003 0.0621 0.0131 0.0281 -0.0026 -0.0391 0.3266 0.0672 0.1945 0.192 0.0432 0.1489 0.0814 0.1228 0.2145 0.2354
"GCF_000014125.1_ASM1412v1" 0.2417 0.3362 0.2791 0.3395 0.0794 -0.0066 0.0478 -0.0028 -0.0487 0.3187 0.1933 0.236 0.1698 0.0353 0.1423 0.1118 0.1615 0.1944 0.1542
"GCF_000145275.1_ASM14527v1" 0.2098 0.2847 0.2435 0.3131 0.034 0.0646 0.0436 -0.0032 -0.0522 0.1466 0.2506 0.3068 0.221 0.0679 0.2337 0.1643 0.1339 0.23 0.2604
"GCF_000191905.1_ASM19190v1" 0.1034 0.1952 0.2483 0.123 0.0886 0.0326 -0.003 -4e-04 0.1463 0.0955 -0.0051 0.1237 0.0853 0.0048 0.0998 0.0457 0.0535 0.281 0.2664
"GCF_000024105.1_ASM2410v1" 0.1799 0.5141 0.2431 0.3582 0.0873 0.056 0.0226 -0.012 0.2568 0.05 0.4906 0.2217 0.1524 0.0829 0.2712 0.1419 0.2001 0.2721 0.1666
"GCF_000010185.1_ASM1018v1" 0.1531 0.393 0.3342 0.2432 0.0477 0.0389 0.0829 0.0071 -0.0556 -0.054 0.4484 0.2135 0.1283 0.151 0.1714 0.1905 0.2248 0.2251 0.1659
"GCF_000163895.2_ASM16389v2" -0.0117 0.3047 0.1509 0.2159 0.0745 0.0885 0.0441 -0.0119 0.0161 0.0613 0.4022 0.1044 0.0116 -0.0123 -0.0566 0.3069 0.3055 0.3071 0.1541
"GCF_000196455.1_ASM19645v1" 0.1718 0.0352 0.2487 0.361 -0.0466 0.0077 0.0596 0.0107 -0.2424 0.115 0.3073 0.1468 0.1364 0.0832 0.1195 0.1674 0.1773 0.2189 0.2462
"GCF_000085225.1_ASM8522v1" 0.1951 0.0306 0.2703 0.1791 0.0114 -0.0088 0.0093 0.0071 0.0058 -0.0228 0.2112 0.1242 0.0405 0.0094 0.1527 0.1275 -0.0223 0.2299 0.2091
"GCF_000016985.1_ASM1698v1" -0.0239 0.0035 -0.0339 -0.0062 -0.0046 0.0562 -0.0046 -0.0073 -0.0177 0.0209 0.1417 0.0085 -0.0011 0.0304 0.0425 0.0131 -0.0932 0.0371 0.012
"GCF_000018325.1_ASM1832v1" 0.2333 0.1036 0.303 0.2083 0.0059 0.0149 0.01 -0.0427 0.0219 -0.0094 0.4027 0.1289 0.064 0.0885 0.2419 0.1459 0.0731 0.1024 0.2787
"GCF_000024405.1_ASM2440v1" -0.0084 -0.0034 0.0053 -4e-04 0.312 -0.016 -0.0038 0.0012 -0.0644 0.0864 0.0402 0.0597 0.0178 0.0858 0.2014 0.013 0.1179 0.2026 0.2366
"GCF_000023905.1_ASM2390v1" 0.0499 0.2366 0.1457 0.1088 -0.121 0.0144 0.0146 -0.0022 -0.069 -0.1699 0.2975 0.0597 0.0278 0.0043 0.0581 0.0396 0.0511 0.1914 0.1887
"GCF_000024565.1_ASM2456v1" 0.1094 0.1348 0.4444 0.2507 0.0577 -0.0176 0.0186 -0.0099 0.0058 -0.0976 -0.0222 0.143 0.0158 0.0517 0.0192 0.0414 0.0536 0.2238 0.0415
"GCF_000165505.1_ASM16550v1" 0.1663 0.328 0.1939 0.2993 -0.0725 -0.0074 0.0453 0.0396 -0.0153 -0.0077 0.3967 0.1509 0.0564 0.1459 0.2066 0.211 0.1965 0.2296 0.3068
"GCF_000007325.1_ASM732v1" 0.0592 0.2605 0.2511 0.047 0.0217 6e-04 0.0096 0.0016 -0.0036 -0.0394 0.0308 0.1864 0.0457 0.0165 0.0412 0.1689 0.0517 0.1167 0.1162
"GCF_000158275.2_ASM15827v2" 2e-04 0.1739 0.0719 0.14 0.0583 0.0187 0.055 4e-04 0.0947 -0.0186 -0.0015 0.0543 0.0465 0.0052 0.0251 0.0858 0.0491 0.063 0.1364
"GCF_000027145.1_ASM2714v1" 0.1698 0.1977 0.2262 0.3182 0.0567 0.0203 0.0011 0.0569 -0.0429 0.4414 0.2385 0.1308 0.139 0.0813 0.1415 0.1254 0.1625 0.1436 0.558
"GCF_000060285.1_ASM6028v1" 0.0722 0.1889 0.2837 0.4049 0.0564 0.0067 -0.0034 0.0407 0.0317 0.2923 0.3279 0.1163 0.1178 0.1042 0.1717 0.1367 0.1257 0.1309 0.5791
"GCF_000196035.1_ASM19603v1" 0.2299 0.1924 0.2928 0.3398 0.0571 0.0212 -0.0267 0.0446 0.1475 0.3289 0.3013 0.1452 0.1097 0.0759 0.1511 0.1369 0.159 0.1323 0.5636
"GCF_000252975.1_ASM25297v1" 0.1867 0.1586 0.3055 0.3141 0.0797 0.0111 0.0181 0.0502 -0.0082 0.4451 0.2857 0.1076 0.1164 0.1335 0.1262 0.1164 0.1163 0.175 0.5852
"GCF_000168635.2_ASM16863v2" 0.2268 0.1574 0.2958 0.3605 0.0552 0.016 -0.0214 0.0364 0.1776 0.33 0.3097 0.1465 0.1179 0.0815 0.1378 0.1425 0.1762 0.153 0.5505
"GCF_000008285.1_ASM828v1" 0.2522 0.1343 0.2712 0.3986 0.0436 0.008 -0.0091 0.052 0.1835 0.2566 0.301 0.109 0.1059 0.1034 0.1562 0.186 0.1274 0.1545 0.5544
"GCF_000091405.1_ASM9140v1" 0.6449 0.5618 0.2917 0.5682 0.2322 0.4395 0.2031 0.0976 0.0443 0.0323 0.1488 0.3194 0.2121 0.3805 0.3754 0.3957 0.4465 0.2906 0.5582
"GCF_000014425.1_ASM1442v1" 0.6388 0.5545 0.2459 0.5869 0.2661 0.4536 0.2059 0.1459 -0.1309 0.0154 0.1031 0.3111 0.201 0.3704 0.3126 0.4143 0.4091 0.2865 0.571
"GCF_000191165.1_ASM19116v1" 0.4792 0.4498 0.1953 0.4779 0.4829 0.456 0.0938 0.4494 -0.2441 0.2362 0.3665 0.4697 0.3113 0.3443 0.589 0.634 0.4442 0.4474 0.6151
"GCF_000182835.1_ASM18283v1" 0.4366 0.412 0.1686 0.4581 0.45 0.4847 0.0739 0.4237 -0.1453 0.2583 0.3427 0.4162 0.2505 0.3289 0.5944 0.5926 0.5222 0.4916 0.5673
"GCF_000091765.1_ASM9176v1" 0.6251 0.5529 0.1991 0.5299 0.2668 0.5629 0.2422 0.231 -0.0487 -0.0112 0.1271 0.3092 0.2711 0.3751 0.5021 0.5985 0.4089 0.2611 0.5627
"GCF_000214785.1_ASM21478v1" 0.5866 0.5038 0.1985 0.5077 0.2819 0.5209 0.2351 0.1544 -0.1299 -0.0489 0.1439 0.31 0.2473 0.2723 0.4792 0.6033 0.3961 0.2826 0.5995
"GCF_000189515.1_ASM18951v1" 0.5682 0.5988 0.2178 0.5548 0.2828 0.535 0.2224 0.1594 -0.0851 -0.067 0.137 0.3261 0.2935 0.3269 0.4902 0.6542 0.4468 0.2472 0.5552
"GCF_000011985.1_ASM1198v1" 0.6335 0.6012 0.1681 0.5712 0.2574 0.5549 0.2322 0.2369 -0.0687 0.0473 0.164 0.3259 0.2477 0.3942 0.4157 0.6114 0.4411 0.2647 0.5231
"GCF_000182855.2_ASM18285v1" 0.5605 0.5461 0.2963 0.5419 0.253 0.5391 0.1972 0.221 -0.0519 0.0102 0.1691 0.3444 0.2343 0.3461 0.446 0.5969 0.4766 0.3009 0.5577
"GCF_000026065.1_ASM2606v1" 0.4103 0.1562 0.2465 0.382 0.0119 0.0698 -0.058 -0.0231 0.022 0.0078 0.3503 0.3271 0.234 0.2082 0.1364 0.4627 0.236 0.219 0.5475
"GCF_000011045.1_ASM1104v1" -0.0487 -0.0293 -0.0479 0.1721 0.1104 0.0638 0.2625 -0.0609 0.0241 0.0327 0.0163 0.3894 0.0188 0.2033 0.2522 -0.0039 0.0249 0.2397 0.2186
"GCF_000233755.1_ASM23375v1" -0.0196 -0.037 -0.0389 0.1623 0.0687 0.0429 0.3168 -0.0627 0.3244 -0.0032 -0.0095 0.3268 0.0305 0.1935 0.2121 -0.0494 0.0627 0.1949 0.2353
"GCF_000155515.2_ASM15551v2" 0.0132 -0.0113 0.0685 0.1998 0.0254 0.1775 0.3692 -0.0509 0.2116 -0.003 0.0637 0.4062 0.1465 0.1865 0.2279 0.0584 0.1752 0.3235 0.402
"GCF_000008925.1_ASM892v1" 0.5109 0.3337 0.1163 0.5282 0.1671 0.3938 0.1574 0.0553 -0.1164 0.2637 0.4194 0.2753 0.2298 0.4282 0.1789 0.1484 0.4864 0.323 0.686
"GCF_000014505.1_ASM1450v1" 0.4932 0.0373 0.2885 0.5413 0.155 0.3344 0.1062 0.083 -0.1532 -0.016 0.3151 0.3019 0.2871 0.2529 0.207 0.5233 0.2431 0.2327 0.5647
"GCA_000237995.2_ASM23799v2" 0.5056 -0.0287 0.1915 0.4438 0.1883 0.3551 0.0968 0.0941 -0.1084 -0.0048 0.292 0.2103 0.2026 0.2365 0.161 0.4579 0.2555 0.239 0.6406
"GCF_000203855.3_ASM20385v3" 0.2957 0.0404 0.2242 0.3947 0.2607 0.3479 0.1662 0.056 -0.0633 0.0227 0.1849 0.365 0.1126 0.2237 0.1905 0.4087 0.1424 0.2801 0.4474
"GCF_000014465.1_ASM1446v1" 0.5014 0.3552 0.1261 0.4012 0.4271 0.3995 0.3442 0.0123 -0.3663 -0.0301 0.0912 0.3106 0.225 0.2567 0.4847 0.2347 0.0244 0.2714 0.4329
"GCF_000225325.1_ASM22532v1" 0.5717 0.4027 0.3479 0.5267 0.1062 0.0806 0.0814 0.0057 0.2813 -0.0251 0.0653 0.2705 0.113 0.344 0.2128 0.4947 0.3001 0.1589 0.4803
"GCF_000219805.1_ASM21980v1" 0.3915 0.485 0.4363 0.342 0.3248 0.4987 0.2295 -0.0132 1 0.72 0.2324 0.4293 0.1533 0.2781 0.2807 0.5994 0.3206 0.6022 0.5602
"GCF_000014385.1_ASM1438v1" -0.013 0.0706 -0.0207 -0.0171 0.0116 -0.0858 0.0316 -0.0047 0.5451 -0.0059 0.1219 0.061 0.1272 -0.0414 0.2584 0.0335 0.1111 0.2076 0.2938
"GCF_000234825.3_ASM23482v3" 0.1056 0.3739 0.4299 0.4198 0.3385 0.5566 0.3183 -0.0103 1 0.457 0.2922 0.3611 0.2106 0.2959 0.257 0.5701 0.2837 0.648 0.5499
"GCF_000092505.1_ASM9250v1" -0.0192 0.1334 0.4941 0.3034 0.0929 0.3546 0.1671 0.0032 NA -0.0766 0.1981 0.1104 0.0343 0.2282 0.2162 0.4259 0.1432 0.4735 0.5554
"GCF_000026405.1_ASM2640v1" 0.2244 0.3909 0.3716 0.3345 0.3522 0.5109 0.2545 0.0134 1 0.3717 0.2334 0.3098 0.1199 0.2748 0.2804 0.549 0.3438 0.6427 0.5731
"GCF_000159455.2_ASM15945v2" 0.5408 0.5768 0.3067 0.5475 0.3251 0.5717 0.2747 0.0824 -0.1016 0.0244 0.0954 0.3079 0.2312 0.4227 0.3094 0.4621 0.4475 0.2579 0.5484
"GCF_000010145.1_ASM1014v1" 0.3384 0.2949 -0.0115 0.3251 0.4155 0.3889 0.3621 0.1563 0.0911 0.0552 0.0337 0.4357 0.0672 0.3759 0.4309 0.2849 0.1184 0.1436 0.3899
"GCF_000006865.1_ASM686v1" 0.5272 0.4359 0.4076 0.4033 0.0909 0.0511 0.0968 0.1012 0.1416 0.5071 0.506 0.2024 0.2053 0.3043 0.3417 0.4023 0.2373 0.6394 0.572
"GCF_000009425.1_ASM942v1" 0.543 0.4928 0.3627 0.3876 0.0969 0.0383 0.0871 0.0943 0.0338 0.6808 0.4506 0.214 0.1617 0.2808 0.3722 0.3878 0.2285 0.6144 0.5965
"GCF_000014545.1_ASM1454v1" 0.5792 0.5386 0.2864 0.4527 0.1214 0.0126 0.1053 0.0688 0.0321 0.6824 0.394 0.1535 0.1504 0.2484 0.3254 0.3258 0.2353 0.4551 0.5956
"GCF_000269925.1_ASM26992v1" 0.5459 0.5684 0.3579 0.4476 -0.0787 0.1254 0.0141 0.0559 0.0228 0.5267 0.586 0.2889 0.1785 0.4361 0.3876 0.3394 0.2016 0.6595 0.5492
"GCF_000253335.1_ASM25333v1" 0.5386 0.6195 0.3183 0.5685 0.1423 0.0756 0.0707 0.1115 0.3061 0.6578 0.5935 0.2375 0.1636 0.4604 0.2608 0.3703 0.2742 0.7004 0.465
"GCF_000011845.1_ASM1184v1" 0.5011 0.6256 0.2158 0.5384 0.1434 0.0234 0.0879 0.1248 0.3198 0.7374 0.5171 0.1823 0.0927 0.3978 0.2699 0.3769 0.3012 0.6519 0.4913
