"ENCp_HEG" "ENCp_rest" "deltaENCp"
"GCF_000218915.1_ASM21891v1" 46.0599 54.2327 0.1507
"GCF_000250655.1_ASM25065v1" 46.1465 54.7291 0.1568
"GCF_000010165.1_ASM1016v1" 40.4813 55.5879 0.2718
"GCF_000092905.1_ASM9290v1" 51.816 54.4164 0.0478
"GCF_000024285.1_ASM2428v1" 50.7558 55.2619 0.0815
"GCF_000219875.1_ASM21987v1" 50.5823 55.6537 0.0911
"GCA_000242895.3_ASM24289v3" 48.1355 58.2029 0.173
"GCF_000019045.1_ASM1904v1" 41.7497 49.542 0.1573
"GCF_000166075.1_ASM16607v1" 39.5159 49.9268 0.2085
"GCF_000023385.1_ASM2338v1" 40.9051 51.0892 0.1993
"GCF_000009785.1_ASM978v1" 38.3095 49.1777 0.221
"GCF_000236605.1_ASM23660v1" 37.9791 49.0425 0.2256
"GCF_000015745.1_ASM1574v1" 39.888 50.82 0.2151
"GCF_000015785.1_ASM1578v1" 41.7811 52.4272 0.2031
"GCF_000221645.1_ASM22164v1" 42.5667 52.8565 0.1947
"GCF_000283695.1_ASM28369v1" 44.2329 52.5086 0.1576
"GCF_000165925.1_ASM16592v1" 43.0758 54.9732 0.2164
"GCF_000186745.1_ASM18674v1" 43.5152 54.7646 0.2054
"GCF_000227485.1_ASM22748v1" 40.2518 54.6347 0.2633
"GCF_000227465.1_ASM22746v1" 39.862 54.6662 0.2708
"GCF_000017885.4_ASM1788v4" 41.4958 56.3191 0.2632
"GCF_000008425.1_ASM842v1" 43.0636 53.6976 0.198
"GCF_000017425.1_ASM1742v1" 41.1986 53.9704 0.2366
"GCF_000021305.1_ASM2130v1" 38.1459 54.7819 0.3037
"GCF_000193355.1_ASM19335v1" 38.4938 55.1209 0.3016
"GCF_000092165.1_ASM9216v1" 38.6488 54.656 0.2929
"GCF_000190515.1_ASM19051v1" 38.7016 54.6075 0.2913
"GCF_000008005.1_ASM800v1" 38.6068 54.5406 0.2921
"GCF_000008165.1_ASM816v1" 37.5002 53.9888 0.3054
"GCF_000021785.1_ASM2178v1" 39.0893 54.4816 0.2825
"GCF_000283675.1_ASM28367v1" 38.667 54.4741 0.2902
"GCF_000018825.1_ASM1882v1" 40.1454 54.8715 0.2684
"GCF_000225265.1_ASM22526v1" 40.5893 54.7565 0.2587
"GCF_000025825.1_ASM2582v1" 42.3507 54.846 0.2278
"GCF_000217835.1_ASM21783v1" 42.9106 50.6705 0.1531
"GCF_000010585.1_ASM1058v1" 39.6681 54.226 0.2685
"GCF_000185885.1_ASM18588v1" 38.606 50.0227 0.2282
"GCF_000009405.1_ASM940v1" 39.35 51.9287 0.2422
"GCF_000010125.1_ASM1012v1" 40.3739 53.9988 0.2523
"GCF_000009865.1_ASM986v1" 41.3676 54.3646 0.2391
"GCF_000025085.1_ASM2508v1" 42.3598 53.4648 0.2077
"GCF_000007645.1_ASM764v1" 42.5141 55.9199 0.2397
"GCF_000024585.1_ASM2458v1" 38.7522 53.4812 0.2754
"GCF_000245495.1_ASM24549v1" 39.1927 53.3859 0.2659
"GCF_001602155.1_ASM160215v1" 40.4788 54.0343 0.2509
"GCF_000210615.1_ASM21061v1" 37.9066 55.9373 0.3223
"GCA_000210735.1_ASM21073v1" 38.3403 52.3082 0.267
"GCF_000179635.2_ASM17963v2" 33.7036 52.4748 0.3577
"GCF_000210095.1_ASM21009v1" 37.9222 47.8234 0.207
"GCF_000178115.2_ASM17811v2" 43.0755 51.4256 0.1624
"GCF_000178835.2_ASM17883v2" 42.9265 57.1452 0.2488
"GCA_000210555.1_ASM21055v1" 37.4811 51.4109 0.271
"GCF_000146185.1_ASM14618v1" 35.543 50.3485 0.2941
"GCF_000145035.1_ASM14503v1" 33.3506 51.8246 0.3565
"GCF_000270305.1_ASM27030v1" 37.947 46.8044 0.1892
"GCA_000209815.1_ASM20981v1" 31.3851 51.2265 0.3873
"GCF_000225345.1_ASM22534v1" 37.0035 51.0433 0.2751
"GCA_000210655.1_ASM21065v1" 38.2266 50.4555 0.2424
"GCF_000020605.1_ASM2060v1" 34.2188 53.1191 0.3558
"GCF_000144625.1_ASM14462v1" 50.3083 53.2008 0.0544
"GCA_000210535.1_ASM21053v1" 37.3824 51.7898 0.2782
"GCA_000209895.1_ASM20989v1" 34.8705 51.3765 0.3213
"GCF_000018685.1_ASM1868v1" 44.4491 57.3274 0.2246
"GCF_000247605.1_ASM24760v1" 47.5779 52.7076 0.0973
"GCF_000152245.2_ASM15224v2" 46.0477 52.8963 0.1295
"GCF_000025225.2_ASM2522v1" 47.9426 54.4381 0.1193
"GCF_000244875.1_ASM24487v1" 48.547 56.6329 0.1428
"GCF_000022065.1_ASM2206v1" 50.0316 56.9122 0.1209
"GCF_000184925.1_ASM18492v1" 49.3617 54.9383 0.1015
"GCF_000237085.1_ASM23708v1" 50.3707 56.8002 0.1132
"GCF_000016545.1_ASM1654v1" 46.5461 55.0822 0.155
"GCF_000166355.1_ASM16635v1" 45.0106 54.5275 0.1745
"GCF_000166775.1_ASM16677v1" 44.7333 54.6704 0.1818
"GCF_000166695.1_ASM16669v1" 44.4345 54.6255 0.1866
"GCF_000166335.1_ASM16633v1" 47.8888 54.6411 0.1236
"GCF_000145215.1_ASM14521v1" 45.3191 54.5777 0.1696
"GCF_000213235.1_ASM21323v1" 53.2426 57.7841 0.0786
"GCF_000144645.1_ASM14464v1" 49.291 55.651 0.1143
"GCF_000166415.1_ASM16641v1" 52.9844 56.1635 0.0566
"GCF_000165465.1_ASM16546v1" 50.9217 55.6177 0.0844
"GCF_000020485.1_ASM2048v1" 48.9104 51.9978 0.0594
"GCF_000144695.1_ASM14469v1" 46.4043 54.3601 0.1464
"GCF_000020005.1_ASM2000v1" 55.777 57.8354 0.0356
"GCA_000219855.1_ASM21985v1" 44.5627 50.1023 0.1106
"GCF_000184705.1_ASM18470v1" 50.3985 54.6741 0.0782
"GCF_000009905.1_ASM990v1" 50.8303 55.2027 0.0792
"GCF_000195335.1_ASM19533v1" 53.6898 57.1756 0.061
"GCF_000183745.1_ASM18374v1" 49.6719 55.7551 0.1091
"GCF_000092125.1_ASM9212v1" 53.2377 56.3416 0.0551
"GCF_000024425.1_ASM2442v1" 48.2703 52.554 0.0815
"GCF_000187005.1_ASM18700v1" 51.8798 54.0252 0.0397
"GCF_000309885.1_ASM30988v1" 52.6812 54.2087 0.0282
"GCF_000236585.1_ASM23658v1" 51.5733 54.1406 0.0474
"GCF_000258245.1_ASM25824v1" 53.7537 55.0116 0.0229
"GCF_000091545.1_ASM9154v1" 53.8827 54.8953 0.0184
"GCF_000186385.1_ASM18638v1" 50.2557 52.1425 0.0362
"GCF_000317835.1_ASM31783v1" 48.176 53.5242 0.0999
"GCF_000252445.1_ASM25244v1" 45.4273 53.694 0.154
"GCF_000020685.1_ASM2068v1" 44.7211 52.4202 0.1469
"GCF_000008565.1_ASM856v1" 43.7307 53.1698 0.1775
"GCF_000190555.1_ASM19055v1" 40.6991 49.6999 0.1811
"GCF_000196275.1_ASM19627v1" 49.2603 54.6744 0.099
"GCF_000092425.1_ASM9242v1" 47.7406 53.5491 0.1085
"GCF_000011385.1_ASM1138v1" 49.3754 54.0575 0.0866
"GCF_000013225.1_ASM1322v1" 48.9432 52.7342 0.0719
"GCF_000013205.1_ASM1320v1" 49.088 53.3153 0.0793
"GCF_000063525.1_ASM6352v1" 48.0258 51.2991 0.0638
"GCF_000014585.1_ASM1458v1" 47.9531 56.3159 0.1485
"GCF_000063505.1_ASM6350v1" 45.1805 54.2269 0.1668
"GCF_000195975.1_ASM19597v1" 47.3224 54.1071 0.1254
"GCF_000012625.1_ASM1262v1" 46.1837 54.4791 0.1523
"GCF_000012505.1_ASM1250v1" 48.3317 55.589 0.1306
"GCF_000018585.1_ASM1858v1" 53.303 57.8812 0.0791
"GCF_000011465.1_ASM1146v1" 53.1232 56.881 0.0661
"GCF_000015665.1_ASM1566v1" 54.0485 56.9545 0.051
"GCF_000018065.1_ASM1806v1" 53.3703 56.8602 0.0614
"GCF_000015965.1_ASM1596v1" 54.1185 56.8455 0.048
"GCF_000015645.1_ASM1564v1" 50.6593 56.8469 0.1088
"GCF_000012645.1_ASM1264v1" 49.2512 56.7997 0.1329
"GCF_000015685.1_ASM1568v1" 46.3299 57.5689 0.1952
"GCF_000015705.1_ASM1570v1" 55.6073 56.953 0.0236
"GCF_000012525.1_ASM1252v1" 43.6072 54.3048 0.197
"GCF_000011345.1_ASM1134v1" 50.2663 52.8823 0.0495
"GCF_000022045.1_ASM2204v1" 47.6257 53.2743 0.106
"GCF_000018105.1_ASM1810v1" 53.8358 55.95 0.0378
"GCF_000014265.1_ASM1426v1" 53.5589 57.2093 0.0638
"GCF_000210375.1_ASM21037v1" 54.498 55.2507 0.0136
"GCF_000020025.1_ASM2002v1" 51.6765 56.1452 0.0796
"GCA_000204075.1_ASM20407v1" 45.2308 55.5116 0.1852
"GCF_000196515.1_ASM19651v1" 46.1264 56.5362 0.1841
"GCF_000021805.1_ASM2180v1" 50.0709 52.6136 0.0483
"GCF_000017845.1_ASM1784v1" 46.6681 52.866 0.1172
"GCF_000010625.1_ASM1062v1" 48.5555 54.3668 0.1069
"GCF_000021825.1_ASM2182v1" 50.9201 53.0774 0.0406
"GCF_000147335.1_ASM14733v1" 51.4832 54.602 0.0571
"GCF_000019485.1_ASM1948v1" 50.0005 52.8023 0.0531
"GCF_000009725.1_ASM972v1" 46.9156 52.0906 0.0993
"GCF_000143165.1_ASM14316v1" 44.5847 52.438 0.1498
"GCF_000025585.1_ASM2558v1" 46.0631 52.3584 0.1202
"GCF_000011905.1_ASM1190v1" 42.5891 51.0722 0.1661
"GCF_000025025.1_ASM2502v1" 43.6515 52.2152 0.164
"GCF_000021685.1_ASM2168v1" 53.0431 54.8195 0.0324
"GCF_000024985.1_ASM2498v1" 53.1697 56.3388 0.0563
"GCF_000025005.1_ASM2500v1" 52.9778 56.9808 0.0703
"GCA_000018565.1_ASM1856v1" 37.2674 46.4387 0.1975
"GCF_000021945.1_ASM2194v1" 49.7175 53.3519 0.0681
"GCF_000022185.1_ASM2218v1" 49.863 53.381 0.0659
"GCF_000016665.1_ASM1666v1" 49.9709 52.1357 0.0415
"GCF_000017805.1_ASM1780v1" 52.0249 52.0123 -2e-04
"GCF_000199675.1_ASM19967v1" 44.5688 51.9601 0.1422
"GCF_000023845.1_ASM2384v1" 2 53.886 0.9629
"GCF_000270285.1_ASM27028v1" 49.8581 53.9157 0.0753
"GCF_000210055.1_ASM21005v1" 47.5861 53.6918 0.1137
"GCF_000024265.1_ASM2426v1" 48.3007 52.4626 0.0793
"GCF_000023885.1_ASM2388v1" 45.3412 52.9681 0.144
"GCF_000024225.1_ASM2422v1" 38.2561 53.1138 0.2797
"GCF_000143845.1_ASM14384v1" 49.7585 56.5685 0.1204
"GCF_000195315.1_ASM19531v1" 49.3821 54.6199 0.0959
"GCF_000177615.2_ASM17761v2" 51.8616 55.2989 0.0622
"GCF_000058485.1_ASM5848v1" 52.7231 55.8416 0.0558
"GCF_000013345.1_ASM1334v1" 52.3556 56.0535 0.066
"GCF_000018005.1_ASM1800v1" 52.5825 56.242 0.0651
"GCF_000166135.1_ASM16613v1" 50.6109 55.4279 0.0869
"GCF_000015025.1_ASM1502v1" 51.9528 55.4165 0.0625
"GCF_000023405.1_ASM2340v1" 50.5408 54.8124 0.0779
"GCF_000025205.1_ASM2520v1" 34.6467 50.2028 0.3099
"GCF_000213955.1_ASM21395v1" 32.9216 51.3445 0.3588
"GCF_000024445.1_ASM2444v1" 38.8561 50.3255 0.2279
"GCF_000010425.1_ASM1042v1" 39.5523 49.5963 0.2025
"GCF_000165905.1_ASM16590v1" 43.0761 52.0698 0.1727
"GCF_000213865.1_ASM21386v1" 40.0549 51.7011 0.2253
"GCF_000092325.1_ASM9232v1" 40.5827 51.6318 0.214
"GCF_000210755.1_ASM21075v1" 41.1408 51.2654 0.1975
"GCF_000022705.1_ASM2270v1" 45.2265 51.8652 0.128
"GCF_000224965.2_ASM22496v2" 45.2265 51.8514 0.1278
"GCF_000196535.1_ASM19653v1" 43.6826 53.8525 0.1888
"GCF_000092365.1_ASM9236v1" 36.5903 53.1235 0.3112
"GCF_000023105.1_ASM2310v1" 51.1257 55.2531 0.0747
"GCF_000218545.1_ASM21854v1" 46.4481 53.6328 0.134
"GCF_000092865.1_ASM9286v1" 48.0246 54.3157 0.1158
"GCF_000024925.1_ASM2492v1" 49.6293 54.1862 0.0841
"GCF_000024065.1_ASM2406v1" 47.7726 55.1432 0.1337
"GCF_000215105.1_ASM21510v1" 49.0769 55.0217 0.108
"GCF_000024965.1_ASM2496v1" 48.9546 55.5853 0.1193
"GCF_000202635.1_ASM20263v1" 46.0005 54.2167 0.1515
"GCF_000007665.1_ASM766v1" 50.2251 56.2017 0.1063
"GCF_000063485.1_ASM6348v1" 51.1267 55.4268 0.0776
"GCF_000197735.1_ASM19773v1" 37.4271 51.8878 0.2787
"GCF_000196235.1_ASM19623v1" 46.5779 54.8293 0.1505
"GCF_000189535.1_ASM18953v1" 46.7371 54.7592 0.1465
"GCF_000022025.1_ASM2202v1" 47.4531 54.0429 0.1219
"GCF_000014925.1_ASM1492v1" 45.2705 56.3834 0.1971
"GCF_000018885.1_ASM1888v1" 46.0767 55.9933 0.1771
"GCF_000010285.1_ASM1028v1" 48.3998 54.0958 0.1053
"GCF_000164695.2_ASM16469v2" 40.4003 55.0057 0.2655
"GCF_000011025.1_ASM1102v1" 36.594 48.2052 0.2409
"GCF_000023205.1_ASM2320v1" 47.8005 55.231 0.1345
"GCF_000017305.1_ASM1730v1" 51.0424 55.9297 0.0874
"GCF_000023925.1_ASM2392v1" 45.8249 54.4737 0.1588
"GCF_000184685.1_ASM18468v1" 50.6984 55.973 0.0942
"GCF_000015265.1_ASM1526v1" 51.4875 55.8448 0.078
"GCF_000270245.1_ASM27024v1" 49.5446 54.0873 0.084
"GCF_000008345.1_ASM834v1" 48.2764 57.459 0.1598
"GCF_000240055.1_ASM24005v1" 48.1393 57.372 0.1609
"GCF_000024345.1_ASM2434v1" 48.3717 53.9667 0.1037
"GCF_000024025.1_ASM2402v1" 49.3192 54.4498 0.0942
"GCF_000269985.1_ASM26998v1" 48.6934 54.1416 0.1006
"GCF_000237305.1_ASM23730v1" 49.3722 54.6565 0.0967
"GCF_000203835.1_ASM20383v1" 49.1558 55.4768 0.1139
"GCF_000092385.1_ASM9238v1" 50.1742 55.5237 0.0963
"GCA_000147815.3_ASM14781v3" 49.7981 55.2901 0.0993
"GCF_000010605.1_ASM1060v1" 49.4825 55.9213 0.1151
"GCF_000213055.1_ASM21305v1" 50.207 57.119 0.121
"GCF_000091305.1_ASM9130v1" 48.1785 55.5555 0.1328
"GCF_000009765.2_ASM976v2" 47.8617 55.7759 0.1419
"GCF_000092825.1_ASM9282v1" 53.7876 56.4798 0.0477
"GCF_000023145.1_ASM2314v1" 45.8979 57.177 0.1973
"GCF_000069945.1_ASM6994v1" 40.8826 53.9339 0.242
"GCF_000006605.1_ASM660v1" 36.8846 53.0369 0.3045
"GCF_000177535.2_ASM17753v2" 33.7909 55.0634 0.3863
"GCF_000179395.2_ASM17939v2" 43.1347 52.7263 0.1819
"GCF_000022905.1_ASM2290v1" 42.4533 54.2142 0.2169
"GCF_000215645.1_ASM21564v1" 27.2178 57.341 0.5253
"GCF_000255935.1_ASM25593v1" 46.509 57.7753 0.195
"GCF_000152065.1_ASM15206v1" 46.509 57.7047 0.194
"GCF_000195815.1_ASM19581v1" 39.1113 55.4953 0.2952
"GCF_000255235.1_ASM25523v1" 39.5891 55.4846 0.2865
"GCF_000011305.1_ASM1130v1" 41.4009 51.7961 0.2007
"GCF_000011325.1_ASM1132v1" 37.5839 53.6257 0.2991
"GCF_000214175.1_ASM21417v1" 51.3088 56.9866 0.0996
"GCF_000009805.1_ASM980v1" 48.3171 53.5757 0.0982
"GCF_000284035.1_ASM28403v1" 45.7807 52.1362 0.1219
"GCF_000196695.1_ASM19669v1" 45.9468 54.1917 0.1521
"GCF_000010105.1_ASM1010v1" 46.1785 54.6117 0.1544
"GCF_000010805.1_ASM1080v1" 49.1769 55.14 0.1081
"GCF_000014565.1_ASM1456v1" 49.0744 55.4149 0.1144
"GCF_000092225.1_ASM9222v1" 47.7738 54.5748 0.1246
"GCF_000024785.1_ASM2478v1" 46.7035 53.7522 0.1311
"GCF_000247715.1_ASM24771v1" 45.8958 53.4973 0.1421
"GCA_000230895.3_ASM23089v3" 50.1046 55.2228 0.0927
"GCF_000266905.1_ASM26690v1" 49.6589 54.886 0.0952
