"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "S_avg"
"GCF_000196035.1_ASM19603v1" 0.779 0.5972 1.1408 1.2252 -2.3077 -0.3897 -0.4726 0.6417 0.1982 0.7039 0.898 1.0047
"GCF_000252975.1_ASM25297v1" 0.9907 0.4419 1.1325 1.3077 -2.1397 -0.4613 -0.6535 0.7124 0.2798 0.795 0.9292 1.0703
"GCF_000168635.2_ASM16863v2" 0.7953 0.5348 1.1574 1.2249 -2.3228 -0.4354 -0.4688 0.6097 0.1765 0.6983 0.9263 1.0216
"GCF_000008285.1_ASM828v1" 0.8067 0.5964 1.1329 1.203 -2.0909 -0.3674 -0.5881 0.6173 0.149 0.6762 0.8944 1.0003
"GCF_000091405.1_ASM9140v1" 2.245 1.503 1.2074 1.7177 -1.8559 0.8301 -1.4197 0.6752 1.2627 0.5668 0.9492 1.419
"GCF_000014425.1_ASM1442v1" 2.0862 1.5014 1.1278 1.5553 -1.6064 0.6989 -1.1949 0.7096 0.6652 0.2501 0.8968 1.3155
"GCF_000191165.1_ASM19116v1" 2.1936 1.3861 0.757 1.4812 -2.9031 1.1614 -2.1501 0.3641 1.2262 -0.3442 0.22 0.9758
"GCF_000182835.1_ASM18283v1" 1.9421 1.2579 0.7315 1.4617 -2.9122 1.1921 -2.1739 0.3723 0.4491 -0.3956 0.2586 0.9413
"GCF_000091765.1_ASM9176v1" 2.2659 1.6314 0.9538 1.72 -3.1868 1.2756 -1.6311 1.0283 0.7985 0.322 0.7214 1.3021
"GCF_000214785.1_ASM21478v1" 1.9322 1.64 0.7822 1.476 -2.1558 1.1513 -1.3884 0.9151 0.1298 -0.0161 0.548 1.078
"GCF_000189515.1_ASM18951v1" 1.7691 1.5388 0.8905 1.7425 -2.8329 1.218 -1.3837 0.9686 0.8519 0.0564 0.6354 1.1801
"GCF_000011985.1_ASM1198v1" 1.865 1.6302 0.8773 1.4437 -1.5165 1.4312 -1.0904 1.1064 1.5551 0.4561 0.726 1.147
"GCF_000182855.2_ASM18285v1" 1.7739 1.4108 0.7507 1.3987 -3.3696 1.0003 -1.3529 0.8338 0.9603 0.1511 0.4199 0.9733
"GCF_000026065.1_ASM2606v1" 0.6924 0.1845 0.7418 1.272 -2.0482 -0.1911 -1.7693 0.6622 0.4291 0.5701 1.0397 1.0047
"GCF_000011045.1_ASM1104v1" 0.5261 0.4754 1.2407 1.0998 -0.221 0.7903 -1.0797 0.3625 -Inf 0.6245 0.7476 0.8903
"GCF_000233755.1_ASM23375v1" 0.545 0.5415 1.2457 1.0917 -0.2356 0.7644 -1.0156 0.3681 -Inf 0.6318 0.7514 0.8933
"GCF_000155515.2_ASM15551v2" 0.6604 0.3633 1.1734 1.0639 -0.3519 0.958 -1.1247 0.4421 NA 0.5707 0.8875 0.9455
"GCF_000008925.1_ASM892v1" 1.5109 1.0298 0.9347 1.5887 -2.8915 0.6557 -1.3229 1.0077 0.9659 0.7374 1.0626 1.2548
"GCF_000014505.1_ASM1450v1" 1.2193 0.3517 0.9516 1.3705 -1.6213 0.6859 -1.139 0.8359 0.6806 0.6733 0.8838 1.0825
"GCA_000237995.2_ASM23799v2" 0.648 6e-04 0.9415 0.8858 -1.3385 0.6483 -0.8689 0.526 0.6168 0.4469 0.6337 0.7627
"GCF_000203855.3_ASM20385v3" 0.976 0.0982 0.8575 1.2682 -1.3165 0.3651 -1.8054 0.4711 0.0361 0.3868 0.7693 0.9607
"GCF_000014465.1_ASM1446v1" 1.606 0.7386 1.1527 1.8226 -1.7007 0.9379 -1.6073 0.6746 0.9846 0.5274 1.1068 1.3959
"GCF_000225325.1_ASM22532v1" 1.5416 0.6525 1.3548 1.2342 -1.7511 0.3323 -1.8114 0.3378 0.2944 0.4542 0.8515 1.146
"GCF_000219805.1_ASM21980v1" 1.9037 2.5471 1.4333 2.1541 -1.5526 2.0559 -0.1337 1.0681 NA 1.4401 1.6716 1.8118
"GCF_000014385.1_ASM1438v1" -0.1992 0.4142 0.425 0.203 -0.3114 0.812 0.1593 0.0187 NA -0.4892 0.2838 0.2065
"GCF_000234825.3_ASM23482v3" 0.9953 1.4115 1.0904 1.7544 -1.9931 1.8115 -1.2803 0.5901 0.1001 0.4746 1.0481 1.247
"GCF_000092505.1_ASM9250v1" 0.7972 0.9826 1.227 1.5476 -1.7609 1.554 -1.2476 0.3802 1.3901 0.98 1.0397 1.1809
"GCF_000026405.1_ASM2640v1" 1.2893 1.6842 1.1445 1.8285 -1.2707 1.8074 -1.2164 0.68 NA 0.8376 1.1255 1.3529
"GCF_000159455.2_ASM15945v2" 2.0655 1.7772 0.9903 1.7595 -2.22 1.436 -1.6882 0.5791 0.9115 0.439 0.6479 1.2491
"GCF_000010145.1_ASM1014v1" 2.4836 0.9077 1.0322 1.2823 -1.6588 1.7611 -2.1289 0.4044 0.9223 -0.2924 0.537 1.1454
"GCF_000006865.1_ASM686v1" 2.1788 1.943 1.8717 2.4543 -2.9764 -0.9591 -1.8669 0.9306 1.1856 1.7074 2.0374 2.1447
"GCF_000009425.1_ASM942v1" 2.2002 2.0187 1.8258 2.2938 -3.0636 -1.0943 -2.0698 0.9637 0.6895 1.6624 1.7946 2.0025
"GCF_000014545.1_ASM1454v1" 2.1631 2.1019 1.8582 2.3215 -3.1367 -1.1737 -2.3596 0.9407 1.0325 1.8001 1.7814 2.0043
"GCF_000269925.1_ASM26992v1" 1.9674 2.4144 1.6185 2.0891 -2.7189 -1.4398 -1.44 0.9494 0.7577 1.2725 1.6424 1.8092
"GCF_000253335.1_ASM25333v1" 1.9172 2.2529 1.3242 2.3503 -2.0786 -1.9815 -1.2736 0.498 0.5476 1.3357 1.4961 1.7605
"GCF_000011845.1_ASM1184v1" 1.9109 2.0426 1.4144 2.1458 -1.9569 -1.7284 -1.3265 0.5257 0.6906 1.6807 1.3115 1.6448
"GCF_000270165.1_ASM27016v1" 1.7184 1.7352 1.5793 1.9843 -1.774 -1.4811 -0.9298 0.4517 1.1545 0.9969 1.4649 1.668
"GCF_000213825.1_ASM21382v1" 1.3971 1.3495 1.2377 1.8527 -1.6176 -1.6844 -1.019 0.7376 0.8933 1.4488 1.2236 1.4247
"GCF_000009545.1_ASM954v1" 1.2244 1.5545 1.2898 1.9604 -1.6784 -1.5447 -0.9283 0.4123 0.9327 1.1662 1.1893 1.418
"GCF_000010705.1_ASM1070v1" 1.434 1.3664 1.534 2.1865 -1.6187 -1.5365 -0.9112 0.5489 0.4407 0.6467 1.5125 1.6828
"GCF_000219765.1_ASM21976v1" 1.1073 0.9095 1.2753 1.7296 -1.3811 -0.8953 -1.1733 0.4871 -Inf 0.4976 0.9556 1.238
"GCF_000020765.1_ASM2076v1" 1.0874 1.0603 1.3248 1.7086 -1.4789 -0.9633 -1.1998 0.4078 -Inf 0.4695 0.957 1.2394
"GCF_000230295.1_ASM23029v1" 1.7656 1.4453 1.6798 1.8862 -1.6092 -1.4684 -0.9916 0.5879 0.8272 0.9732 1.4388 1.6501
"GCF_000012165.1_ASM1216v1" 1.5859 1.3669 1.6251 1.7973 -1.6964 -1.3204 -0.9562 0.594 0.8636 0.8512 1.3587 1.5575
"GCF_000196055.1_ASM19605v1" 1.5175 1.8028 1.401 1.9933 -1.3047 -1.2396 -0.7916 0.8625 2.3362 1.1146 1.2821 1.5328
"GCF_000007465.2_ASM746v2" 1.0867 1.052 1.2897 1.189 -1.5521 -0.6356 -0.7386 0.3638 -0.4147 0.4491 0.873 1.0645
"GCF_000164675.2_ASM16467v2" 1.7268 1.8429 1.4039 2.1002 -2.6873 -1.5375 -1.3436 0.6174 0.5936 1.263 1.357 1.6229
"GCF_000253155.1_ASM25315v1" 1.6557 1.4698 1.4628 2.1213 -2.5526 -1.5601 -1.1356 0.6665 -0.1848 1.0814 1.2526 1.5921
"GCF_000027165.1_ASM2716v1" 1.5365 1.4723 1.1515 1.9811 -2.257 -1.4576 -0.992 0.4571 -0.0641 1.1229 1.2077 1.4627
"GCF_000221985.1_ASM22198v1" 1.7047 1.8381 1.3412 2.2357 -2.6347 -1.6463 -1.0954 0.5906 -0.1697 1.2607 1.4058 1.6667
"GCF_000251085.2_ASM25108v2" 1.7413 1.6894 1.3806 1.9708 -2.5157 -1.5852 -1.0859 0.6086 -0.1871 1.3218 1.3269 1.5768
"GCF_000019025.1_ASM1902v1" 1.7382 1.6975 1.3941 1.95 -2.5411 -1.5718 -1.0937 0.5905 0.131 1.3505 1.3309 1.5755
"GCF_000007045.1_ASM704v1" 1.7616 1.7695 1.3325 2.0438 -1.9793 -1.528 -0.8897 0.6607 -0.1257 1.3478 1.3766 1.6041
"GCF_000017005.1_ASM1700v1" 1.5619 1.7853 1.1147 2.0149 -1.9979 -1.4932 -1.1426 0.722 0.1085 1.0097 1.2528 1.4801
"GCF_000014205.1_ASM1420v1" 1.6189 1.5464 1.1202 1.9401 -1.8176 -1.3555 -1.0263 0.4808 0.0941 0.9842 1.2283 1.4596
"GCF_000018185.1_ASM1818v1" 1.436 1.7241 1.5499 2.271 -1.8048 -1.3873 -0.7875 0.5135 0.1254 1.0628 1.409 1.6706
"GCF_000231865.1_ASM23186v1" 1.4884 1.7059 1.5843 2.4097 -1.8371 -1.3857 -0.7962 0.5866 0.6913 1.1755 1.4297 1.7291
"GCF_000231885.1_ASM23188v1" 1.4927 1.8235 1.6033 2.3931 -1.6849 -1.4083 -0.8457 0.5894 0.419 1.3813 1.4112 1.7218
"GCF_000283615.1_ASM28361v1" 0.5754 0.3491 1.0115 0.5138 -1.4655 -0.3533 -0.9189 0.5512 0.7557 0.2816 0.4187 0.5661
"GCF_000166815.1_ASM16681v1" 0.7875 0.8327 1.0587 1.546 -1.4564 -0.8989 -1.0184 0.5173 0.658 0.5093 0.456 0.8949
"GCF_000270185.1_ASM27018v1" 0.4149 0.3167 0.8914 0.7251 -0.6402 -0.5406 -0.7101 0.6195 0.6806 0.1536 0.233 0.5016
"GCA_000210115.1_ASM21011v1" 1.1306 0.7947 1.1634 1.3949 -1.2773 -0.8389 -0.6835 0.6237 0.2161 0.7897 1.1861 1.2294
"GCF_000007785.1_ASM778v1" 1.2567 0.9531 1.5366 1.8841 -1.6296 -0.9744 -1.0634 0.7164 0.5157 0.9339 1.4662 1.5575
"GCF_000172575.2_ASM17257v2" 1.4337 1.115 1.6245 1.9943 -1.7142 -1.0231 -0.9273 0.7561 0.7563 0.9673 1.5485 1.6644
"GCF_000195575.1_ASM19557v1" 1.3926 0.7495 1.0913 1.2234 -2.0225 -1.0761 -0.7229 0.7052 0.3454 0.876 0.7884 1.0423
"GCF_000193205.1_ASM19320v1" 0.8474 0.463 1.0629 1.1632 -1.9739 -0.9332 -1.5751 0.4436 -0.4043 0.4449 0.2762 0.7406
"GCA_000017965.1_ASM1796v1" 1.8093 1.7547 1.9148 1.998 -1.5907 -0.8586 -0.4421 0.7553 0.5018 0.852 1.2747 1.6701
"GCF_000011245.1_ASM1124v1" 1.0918 1.0563 1.1999 1.5236 -0.7325 -0.4147 -0.1307 0.7306 1.1271 0.5052 0.901 1.1536
"GCF_000023045.1_ASM2304v1" 1.9266 1.8935 1.3338 1.6471 -1.2489 -0.4974 -0.5925 0.4087 0.6912 1.8114 0.786 1.2816
"GCF_000177235.2_ASM17723v2" 0.6217 0.6661 1.0681 0.8001 -0.8048 -0.1245 -0.3187 0.4016 0.3529 0.2342 0.4182 0.6708
"GCF_000093085.1_ASM9308v1" 0.8218 1.2777 0.9404 0.8864 -0.0447 0.2484 -0.5193 0.6459 0.5646 0.5769 0.3648 0.678
"GCF_000009825.1_ASM982v1" 0.6608 0.9888 0.7865 0.8999 -1.0597 -0.2942 -0.2518 0.2542 0.6795 0.8015 0.4445 0.6639
"GCF_000011145.1_ASM1114v1" 1.0155 0.8861 1.3446 1.2348 -0.923 -0.0081 -0.2934 0.35 0.1346 0.735 0.3543 0.8574
"GCF_000005825.2_ASM582v2" 1.0879 1.5575 1.281 1.4645 -1.3608 0.2202 -0.1327 0.4957 -0.4628 0.5965 0.9059 1.1512
"GCF_000024685.1_ASM2468v1" 0.5542 1.0672 0.5732 1.0611 -1.5879 -0.879 -0.53 0.5696 -0.5159 0.225 0.3235 0.5869
"GCA_000146875.2_ASM14687v2" 1.0943 1.1206 1.2085 0.9792 -1.4283 -0.9848 -0.7047 0.5722 0.6273 0.2912 0.6613 0.9025
"GCF_000235585.1_ASM23558v1" 1.0293 1.0362 1.3005 1.1528 -1.5876 -1.0523 -0.718 0.6274 0.5119 0.4468 0.7046 0.9703
"GCF_000023585.1_ASM2358v1" 0.9779 1.4793 1.0475 1.1988 -1.8832 -1.283 -0.7411 0.47 -0.6181 0.5459 0.6069 0.8851
"GCA_000227705.3_ASM22770v3" 0.577 0.4216 0.7184 0.333 -0.6693 0.066 -0.3521 0.1185 0.0519 1.2429 0.02 0.3151
"GCF_000218915.1_ASM21891v1" 0.6182 0.7758 0.099 0.8983 -1.9067 -0.8007 -0.8049 0.1472 -0.2645 0.3779 0.0451 0.349
"GCF_000250655.1_ASM25065v1" 0.7025 0.5463 0.1745 0.9015 -1.893 -0.763 -0.8428 0.1123 -0.1892 0.0249 0.014 0.3659
"GCF_000010165.1_ASM1016v1" 0.968 1.0827 1.2939 1.4685 -1.2886 -0.372 -0.4824 0.3387 1.2397 1.1873 0.6643 1.0371
"GCF_000092905.1_ASM9290v1" -0.0335 0.2131 0.1128 0.1775 0.1376 0.2259 0.0351 -0.0916 0.2609 -0.0472 -0.1137 0.0047
"GCF_000024285.1_ASM2428v1" 0.316 -0.0298 0.3604 0.2664 0.107 1.0194 0.1671 0.0632 0.7112 0.6745 -0.2284 0.0865
"GCF_000219875.1_ASM21987v1" 5e-04 -0.0183 0.3359 0.1854 0.2703 0.7204 0.1491 0.0626 0.9237 0.3013 -0.2403 6e-04
"GCA_000242895.3_ASM24289v3" 0.669 0.4055 1.1075 1.005 -0.8344 -0.1628 -0.4273 0.0875 0.0558 0.4536 0.5592 0.7966
"GCF_000019045.1_ASM1904v1" 1.1241 0.7466 1.5885 0.8975 -0.9146 -0.1947 0.004 0.5281 0.5818 1.365 0.5484 0.891
"GCF_000166075.1_ASM16607v1" 0.3775 0.2786 1.0291 0.5766 -1.5275 -0.8676 -0.3139 0.3152 1.0266 1.0163 0.0173 0.3654
