"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "S_avg"
"GCF_000018425.1_ASM1842v1" 0.6869 0.6222 0.4984 0.7812 0.4949 0.4805 0.0855 0.5383 1.9356 0.8228 0.5416 0.6066
"GCF_000024605.1_ASM2460v1" 0.6857 1.991 0.9019 1.3526 1.1394 1.0969 0.38 0.964 1.1009 -0.1215 0.5574 0.8636
"GCF_000016165.1_ASM1616v1" 0.6421 1.2132 1.5675 1.4424 0.0333 0.0288 -0.6022 0.602 0.6792 0.816 0.7476 1.0584
"GCF_000215085.1_ASM21508v1" 0.8167 1.1444 0.5105 1.0721 0.4281 -0.2637 -0.6848 0.5903 0.8454 1.0411 0.1941 0.6052
"GCA_000010565.1_ASM1056v1" 0.5552 1.2214 0.6656 1.0001 0.8136 0.2658 0.5379 0.7275 0.8499 0.0042 0.4626 0.6616
"GCA_000233715.3_ASM23371v3" 0.4419 0.6564 0.695 0.5933 0.5304 -0.0568 -0.0988 0.5611 0.9955 0.5005 0.5037 0.5554
"GCF_000024205.1_ASM2420v1" -0.1772 0.4065 0.4627 0.4799 0.4955 0.2148 -0.3589 0.7257 0.516 -0.0267 0.293 0.3126
"GCF_000012865.1_ASM1286v1" 0.8272 0.3079 -0.5023 0.9291 0.4168 0.371 -0.2428 0.6194 0.3448 -0.0644 0.4278 0.4158
"GCF_000092405.1_ASM9240v1" 0.5609 0.0707 0.1169 0.6546 -0.0227 0.8314 0.0375 0.0165 0.4548 -0.2074 0.2779 0.3946
"GCF_000014725.1_ASM1472v1" 0.414 0.4119 0.7628 0.6102 0.1476 -0.1128 -0.2765 0.4375 1.2781 0.7324 0.4651 0.5528
"GCF_000013105.1_ASM1310v1" 0.3976 0.1338 0.1973 0.6123 1.0717 -0.1282 0.0606 0.3753 1.6776 0.831 0.3273 0.3763
"GCF_000512895.1_ASM51289v1" -0.0265 0.5194 0.0972 -0.0088 0.5639 -0.3983 -0.4535 0.2225 0.4722 0.4296 0.1616 0.0816
"GCF_000190635.1_ASM19063v1" 0.2352 0.0943 0.1371 -0.2841 0.6264 -0.0277 0.4109 -0.0407 0.7754 0.7059 0.7704 0.2838
"GCA_000255115.3_ASM25511v3" -0.0564 0.8701 0.9277 0.5411 -1.1216 -0.5814 -0.3973 0.168 0.5293 0.1853 0.2302 0.4122
"GCF_000235605.1_ASM23560v1" 0.2189 0.3633 0.5287 0.4322 0.1855 -0.147 0.0995 0.0722 0.6961 0.1186 0.2174 0.3408
"GCA_000231385.3_ASM23138v3" -0.1643 1.0636 0.851 0.4015 -0.7161 -0.5463 -0.0032 -0.3083 1.1717 0.4871 0.2783 0.3628
"GCA_000243135.3_ASM24313v3" 0.565 0.667 0.7279 0.8354 -0.9996 -0.458 -0.5448 0.4305 0.2555 0.8056 0.5572 0.6575
"GCA_000243155.3_ASM24315v3" -0.0215 0.0586 0.0647 0.2821 -0.0428 -0.1531 -0.2433 -0.0201 1.8683 0.9211 0.3352 0.2042
"GCF_000010045.1_ASM1004v1" 0.0327 -0.2331 0.2987 0.2731 0.4707 -0.1589 -0.0232 0.0764 0.9418 0.9006 0.4019 0.2871
"GCA_000231405.3_ASM23140v3" -0.0788 0.4406 0.9997 0.2857 -1.3094 -0.3271 -0.4111 0.1924 0.8183 0.5195 -0.1781 0.1578
"GCF_000019165.1_ASM1916v1" 0.1798 0.3947 0.4455 0.8847 0.1527 0.2567 -0.1654 0.6296 1.2216 1.4993 0.6086 0.5676
"GCF_000213255.1_ASM21325v1" -0.137 0.2369 0.3832 0.0151 0.0269 0.1221 0.1983 0.5768 1.1588 0.4137 0.7723 0.1742
"GCF_000007085.1_ASM708v1" 0.4551 0.6586 -0.2248 -0.1441 0.9094 0.0457 0.1796 0.1555 0.1333 0.8297 -0.1704 -0.0331
"GCA_000147695.3_ASM14769v3" -1.3333 -1.3309 0.512 -0.486 0.3908 0.5596 -0.0393 -0.1453 -0.1543 0.0877 0.4108 -0.1516
"GCF_000019085.1_ASM1908v1" 0.259 0.0931 0.6067 0.2968 0.2197 0.3524 0.2313 0.2951 0.2549 0.5193 0.7555 0.4939
"GCF_000092965.1_ASM9296v1" -0.0607 -0.3327 -0.0588 -0.1218 0.2665 0.2141 0.3506 -0.2349 0.7615 1.1258 0.3376 0.0185
"GCA_000189775.3_ASM18977v3" 0.5713 0.8119 0.157 0.5222 -0.5622 0.0778 -0.4463 0.4104 0.545 0.6851 0.0821 0.3484
"GCF_000328545.1_ASM32854v1" 0.0903 0.3654 0.3494 0.5342 -0.0832 0.2854 -0.1759 0.6466 0.9341 0.3473 0.2114 0.3273
"GCF_000145615.1_ASM14561v1" 0.0804 0.2827 0.4836 0.5546 -0.341 0.3819 -0.2117 0.581 0.3315 0.2949 -0.0016 0.2956
"GCA_000013845.1_ASM1384v1" 2.1363 2.1032 2.5186 2.3093 -2.1655 -0.7945 -0.5648 1.1685 0.0661 1.1621 3.2195 2.4956
"GCF_000013285.1_ASM1328v1" 2.2129 2.1376 2.6873 2.3873 -2.1865 -0.9373 -0.6886 1.1571 0.2213 1.1436 3.2341 2.5738
"GCF_000016965.1_ASM1696v1" 1.0821 0.7471 1.3095 1.0868 -1.6052 -0.0842 -1.2805 0.5798 -0.7851 0.3533 0.9012 1.0825
"GCF_000020285.1_ASM2028v1" 2.0129 1.1406 2.0947 1.7176 -Inf 0.0104 -1.9052 0.7243 -0.1621 1.0528 2.0396 1.9424
"GCF_000016505.1_ASM1650v1" 0.3599 0.2218 0.7741 0.373 0.2543 0.1746 -0.3082 0.2651 -0.5429 0.0622 0.3144 0.4551
"GCF_000143685.1_ASM14368v1" 0.2618 0.123 0.7626 0.2442 0.0945 0.2271 -0.1417 -0.209 -0.6283 -0.1197 0.2097 0.3552
"GCF_000007625.1_ASM762v1" 1.042 1.8671 1.4278 1.3842 -2.6471 0.0709 -1.2108 0.787 -0.1808 0.577 1.2087 1.2939
"GCF_000019545.1_ASM1954v1" 1.0245 1.1423 1.2745 1.0674 -0.7832 -0.0569 -0.7019 0.6005 0.1853 0.6405 0.9951 1.0903
"GCF_000204565.1_ASM20456v1" 1.4127 1.7844 1.8218 1.6644 -2.3778 -0.4985 -1.4221 0.5986 -0.1131 1.5474 1.8439 1.6902
"GCF_000014125.1_ASM1412v1" 1.5626 1.7075 1.9546 1.8229 -Inf -0.6904 -1.993 0.7168 0.1777 1.6876 2.4701 1.9648
"GCF_000145275.1_ASM14527v1" 1.513 1.7274 1.5059 1.6309 -1.4229 -0.395 -1.5399 0.7668 0.2669 0.9589 1.8701 1.6385
"GCF_000191905.1_ASM19190v1" 0.5624 0.8151 1.3591 0.7088 -0.0101 -0.2774 -0.5664 0.0372 0.4323 0.328 0.8912 0.8679
"GCF_000024105.1_ASM2410v1" 1.0115 2.3101 1.3893 1.7979 -3.6092 -0.7006 -1.4336 0.2966 -1.9702 0.3426 0.9751 1.2879
"GCF_000010185.1_ASM1018v1" 0.8003 1.5233 1.4659 1.2332 -Inf 0.084 -2.3456 0.6459 -0.1895 0.0673 1.1172 1.1534
"GCF_000163895.2_ASM16389v2" 0.7922 1.7338 1.3035 1.1056 -1.5154 -1.6451 -1.2347 0.4483 0.7895 0.5662 0.8802 0.9942
"GCF_000196455.1_ASM19645v1" 0.8675 0.4081 1.4772 1.3003 -0.826 -0.2545 0.0085 0.3366 -0.6161 0.2771 1.1889 1.2311
"GCF_000085225.1_ASM8522v1" 0.8958 0.4497 1.4072 0.9446 -0.8961 -0.6035 -0.2994 0.2417 -0.3694 -0.0998 0.9507 1.0516
"GCF_000016985.1_ASM1698v1" 0.4124 0.791 0.4176 0.2484 -0.2677 0.1097 -0.2307 0.1281 0.0255 0.3027 0.3032 0.3341
"GCF_000018325.1_ASM1832v1" 1.3901 1.1761 1.5522 1.2384 -1.3539 -0.5069 -0.2867 0.515 -0.6008 -0.0078 0.4396 1.05
"GCF_000024405.1_ASM2440v1" 0.2131 0.2221 0.5944 0.3101 1.0623 0.3845 0.0257 0.1368 -0.4078 0.2581 0.6182 0.4224
"GCF_000023905.1_ASM2390v1" 0.4927 0.8615 1.4621 0.9103 -1.3661 -1.1294 -1.3393 0.1967 -1.4892 -0.2015 0.9507 0.9641
"GCF_000024565.1_ASM2456v1" 0.8588 1.1448 1.5825 1.2794 -2.4164 -0.9317 -1.136 0.4556 -1.6181 0.0937 0.3563 1.0158
"GCF_000165505.1_ASM16550v1" 1.0942 1.1565 1.5613 1.2549 -0.5797 -0.2937 -0.1109 0.4187 -0.2909 0.2463 1.5588 1.3774
"GCF_000007325.1_ASM732v1" 0.5361 0.885 0.9396 0.4855 -0.6939 -0.0804 -0.4158 0.154 0.363 -0.1084 0.3911 0.5768
"GCF_000158275.2_ASM15827v2" 0.3711 0.8992 0.7401 1.0732 -1.7452 -0.0022 -1.4381 0.3647 -Inf -0.0142 0.3054 0.7527
"GCF_000027145.1_ASM2714v1" 0.9263 1.0616 1.1132 1.3543 -3.1337 -1.7518 -1.2044 0.7088 -0.4279 1.5561 0.9419 1.0822
"GCF_000060285.1_ASM6028v1" 0.9051 1.311 1.3978 1.7829 -3.3309 -1.5195 -1.1437 0.8897 -0.6281 1.2616 1.2547 1.3678
"GCF_000196035.1_ASM19603v1" 1.1393 1.1237 1.3034 1.487 -Inf -2.2097 -1.0045 0.798 -1.4347 1.2224 1.121 1.2536
"GCF_000252975.1_ASM25297v1" 1.0669 1.0219 1.3692 1.4163 -3.4543 -1.327 -1.2757 0.837 -0.7714 1.5903 0.9811 1.1871
"GCF_000168635.2_ASM16863v2" 1.1416 1.006 1.3156 1.5566 -Inf -2.1208 -1.0972 0.7676 -1.7515 1.2194 1.1707 1.2951
"GCF_000008285.1_ASM828v1" 1.2196 0.9453 1.2573 1.727 -3.3994 -2.025 -1.276 0.8357 -1.7792 1.0082 1.1092 1.3156
"GCF_000091405.1_ASM9140v1" 3.3247 2.4678 1.6239 2.6565 -3.5879 1.3212 -2.4582 1.1668 -0.9749 0.7071 1.1682 1.9819
"GCF_000014425.1_ASM1442v1" 3.0271 2.236 1.3919 2.6006 -Inf 1.4246 -2.2034 1.1576 -0.5906 0.4968 0.9523 1.803
"GCF_000191165.1_ASM19116v1" 3.3943 2.3962 1.4605 3.3136 -4.7378 2.6453 -2.3529 2.3756 -1.4625 0.3962 0.9728 2.167
"GCF_000182835.1_ASM18283v1" 2.3954 1.9636 1.2837 3.0192 -4.8071 2.4381 -2.7808 2.1191 -0.8264 0.5883 0.8227 1.8298
"GCF_000091765.1_ASM9176v1" 3.7191 2.5806 1.2744 2.5367 -3.0154 2.2502 -3.7171 1.5445 -0.4357 0.4004 0.9474 1.9031
"GCF_000214785.1_ASM21478v1" 2.952 2.211 1.1091 2.3401 -3.0511 1.845 -2.8468 1.3215 -0.5882 0.1107 0.8243 1.5988
"GCF_000189515.1_ASM18951v1" 2.8359 3.2001 1.2323 2.7583 -3.9211 2.0617 -2.8186 1.4682 -0.6532 0.0388 0.8314 1.7613
"GCF_000011985.1_ASM1198v1" 3.4397 2.963 1.1774 2.7914 -Inf 2.2591 -3.9329 1.7505 0.4408 0.89 1.1137 1.9182
"GCF_000182855.2_ASM18285v1" 2.9842 2.8639 1.3555 2.6926 -4.0163 2.0886 -2.8094 1.3574 -0.3343 0.324 0.7879 1.7597
"GCF_000026065.1_ASM2606v1" 1.7134 0.7899 1.0431 1.475 -3.0368 -0.256 -3.0355 1.0182 -0.6071 0.5776 1.4473 1.4313
"GCF_000011045.1_ASM1104v1" 0.9117 0.7241 0.6876 1.4363 -0.6202 1.0715 -1.5751 0.6294 0.7278 0.6976 0.6947 0.9266
"GCF_000233755.1_ASM23375v1" 1.095 0.5222 0.7951 1.406 -0.1983 1.2686 -1.277 0.6557 1.9053 0.4745 0.5476 0.9132
"GCF_000155515.2_ASM15551v2" 1.0474 0.8897 1.0077 1.3948 -0.202 1.5343 -2.6961 0.7431 1.3686 0.4858 0.9447 1.1014
"GCF_000008925.1_ASM892v1" 2.3562 1.8603 0.9626 2.5274 -Inf 1.0239 -3.0493 1.194 0.7675 1.6651 1.4847 1.8029
"GCF_000014505.1_ASM1450v1" 1.8308 0.6229 1.2961 2.1968 -3.4218 0.8773 -2.595 0.9594 -0.0999 0.3055 1.3138 1.6171
"GCA_000237995.2_ASM23799v2" 1.7147 -0.1235 1.1302 1.4967 -2.2232 1.006 -1.2104 0.8203 -0.7715 0.2349 1.1908 1.3549
"GCF_000203855.3_ASM20385v3" 1.3001 0.2908 1.2676 1.6555 -2.7572 0.9655 -2.969 0.7587 -0.1876 0.7316 1.0362 1.2813
"GCF_000014465.1_ASM1446v1" 2.9949 1.6585 1.1821 2.0643 -4.2837 2.0296 -4.0111 0.888 0.2919 0.5574 1.3939 1.8399
"GCF_000225325.1_ASM22532v1" 2.554 1.712 1.732 2.2558 -Inf 0.3912 -Inf 0.8597 -Inf 0.6789 1.0856 1.7882
"GCF_000219805.1_ASM21980v1" 2.468 2.6917 2.2265 2.229 -Inf 2.8436 -0.9523 1.1445 -Inf Inf 1.7149 2.1117
"GCF_000014385.1_ASM1438v1" -0.3876 -1.1886 -0.27 0.137 -0.167 0.5043 -0.1 -0.2834 1.4745 -0.0605 -0.1309 -0.1024
"GCF_000234825.3_ASM23482v3" 1.0082 1.8041 2.2001 1.965 -2.8856 3.6038 -2.2924 0.4884 Inf 2.0773 1.471 1.6929
"GCF_000092505.1_ASM9250v1" -0.0505 0.7713 2.0222 1.0533 -0.5878 1.7837 -1.0613 -0.2342 NA 0.2553 0.2888 0.8247
"GCF_000026405.1_ASM2640v1" 1.509 1.9152 2.1398 1.6814 -Inf 2.7836 -1.62 0.1204 Inf 1.8889 1.2772 1.6213
"GCF_000159455.2_ASM15945v2" 2.6099 2.9867 1.6879 2.7871 -Inf 2.6843 -3.8855 1.0346 -0.1875 0.6678 0.888 1.9057
"GCF_000010145.1_ASM1014v1" 3.2824 2.0825 1.8429 2.0234 -2.7935 2.461 -4.0919 0.9196 1.1766 0.7686 0.707 1.7542
"GCF_000006865.1_ASM686v1" 2.8038 2.1307 2.0569 2.288 -Inf -1.8251 -3.2704 0.9831 -1.0019 2.3264 2.2951 2.3111
"GCF_000009425.1_ASM942v1" 2.9396 2.4199 1.9074 2.2026 -Inf -1.6507 -2.6774 0.9046 -0.5648 Inf 1.8729 2.1082
"GCF_000014545.1_ASM1454v1" 3.2136 2.6804 1.6205 2.4204 -Inf -1.0899 -2.6697 0.8006 -0.5177 Inf 1.6359 2.0251
"GCF_000269925.1_ASM26992v1" 3.1753 3.3625 1.9272 2.2555 -0.09 -3.1394 -1.2601 0.9282 -0.342 2.643 2.4265 2.3829
"GCF_000253335.1_ASM25333v1" 2.5008 4.0367 1.3697 2.8593 -Inf -2.3134 -2.2213 0.8799 -Inf Inf 2.1554 2.2149
"GCF_000011845.1_ASM1184v1" 2.2136 3.9328 1.0933 2.5107 -Inf -1.6415 -2.3975 0.982 -Inf Inf 1.6745 1.8419
"GCF_000270165.1_ASM27016v1" 2.5874 2.2184 1.6985 2.7874 -3.5113 -1.935 -2.1966 1.0072 -0.4339 1.8737 1.8888 2.176
"GCF_000213825.1_ASM21382v1" 1.9348 1.154 1.0013 1.9439 -Inf -2.709 -2.098 0.9908 -Inf Inf 1.4486 1.5741
"GCF_000009545.1_ASM954v1" 1.952 1.5258 1.6048 2.3901 -Inf -1.476 -1.9904 0.8103 -0.5725 0.907 1.6206 1.8865
"GCF_000010705.1_ASM1070v1" 2.1118 2.0034 1.7419 2.8535 -Inf -1.9258 -1.1758 1.023 -Inf Inf 2.073 2.2032
"GCF_000219765.1_ASM21976v1" 1.7207 1.5343 1.4046 1.8521 -3.9132 -0.2491 -1.3979 1.1367 -Inf 0.2934 1.1586 1.4674
"GCF_000020765.1_ASM2076v1" 1.9537 1.5375 1.5197 1.8112 -3.2335 -0.2496 -1.468 1.1739 -Inf 1.2056 1.092 1.4916
"GCF_000230295.1_ASM23029v1" 2.0874 1.8144 1.9716 2.2461 -3.2969 -1.3837 -1.1484 1.1517 -Inf 1.8096 2.1538 2.1276
"GCF_000012165.1_ASM1216v1" 2.2294 1.8211 1.8318 1.8307 -2.6757 -0.6062 -1.1946 0.6123 -Inf 1.8407 1.9968 1.9551
"GCF_000196055.1_ASM19605v1" 2.0649 1.6095 1.6874 1.9762 -Inf -1.1955 -1.5424 1.0225 -0.373 1.7875 1.5587 1.7687
"GCF_000007465.2_ASM746v2" 1.436 1.5095 0.9235 2.1609 -1.6726 -0.771 -2.5661 0.6567 -0.0965 0.4497 1.3021 1.4507
"GCF_000164675.2_ASM16467v2" 2.2175 2.1142 1.7617 2.6445 -4.1344 -1.506 -2.5946 1.0043 -0.7963 2.7894 2.0359 2.1646
"GCF_000253155.1_ASM25315v1" 2.698 3.4849 1.8308 2.4866 -3.1623 -1.4408 -1.572 1.1967 0.0778 1.5107 1.8391 2.1288
"GCF_000027165.1_ASM2716v1" 2.7395 2.7125 1.8566 2.8865 -3.5187 -1.8708 -1.449 1.1253 -1.6364 1.2638 2.0981 2.3383
"GCF_000221985.1_ASM22198v1" 2.7462 2.7075 1.5762 3.4165 -3.8989 -1.8022 -1.3945 1.2061 -0.1393 Inf 2.0847 2.3966
"GCF_000251085.2_ASM25108v2" 2.5121 3.3963 1.497 2.6628 -3.8884 -1.746 -1.2401 1.1176 -0.4121 2.0714 2.0743 2.1504
"GCF_000019025.1_ASM1902v1" 2.6128 3.252 1.6648 2.7396 -3.8951 -1.6501 -1.4564 1.2436 -0.195 1.7877 2.0691 2.2284
"GCF_000007045.1_ASM704v1" 2.6529 3.3018 1.7678 2.6447 -3.8766 -1.7415 -1.4598 1.1957 0.0568 0.7654 2.033 2.22
"GCF_000017005.1_ASM1700v1" 2.5028 2.0287 1.3809 2.6099 -Inf -1.6673 -1.4194 0.958 -0.0741 Inf 1.9273 2.0583
"GCF_000014205.1_ASM1420v1" 2.6157 1.9951 1.6492 2.4667 -3.64 -1.3487 -1.578 0.9189 -0.7056 Inf 1.8476 2.0776
"GCF_000018185.1_ASM1818v1" 2.5943 2.0068 1.6848 3.2508 -Inf -1.6434 -1.04 0.829 -1.2836 Inf 2.0741 2.3776
"GCF_000231865.1_ASM23186v1" 2.286 2.3743 1.3552 3.6439 -1.1503 -1.4049 -1.008 0.8201 -0.5911 Inf 1.5352 2.0938
"GCF_000231885.1_ASM23188v1" 2.2965 2.3465 1.7076 3.114 -3.3017 -1.4129 -0.8274 0.924 -0.8638 Inf 1.9302 2.2323
"GCF_000283615.1_ASM28361v1" 0.3337 0.4718 0.9803 0.6054 -1.7348 -0.5448 -1.3229 0.4416 1.4517 0.2917 -0.1216 0.3471
"GCF_000166815.1_ASM16681v1" 1.1221 0.7896 0.9139 1.3974 -0.8682 -0.3521 -1.1282 0.9311 0.5258 0.6551 0.6292 0.9558
"GCF_000270185.1_ASM27018v1" 0.544 -0.9147 1.122 0.2357 -0.9155 -0.1199 -1.3571 0.0838 0.2184 0.1255 0.1735 0.3758
"GCA_000210115.1_ASM21011v1" 1.7731 1.5802 1.812 1.7796 -2.3185 -1.8451 -2.3114 1.0662 -0.6518 1.44 1.6808 1.745
"GCF_000007785.1_ASM778v1" 1.7097 1.5864 1.6019 1.4362 -2.6497 -1.512 -2.2095 0.6796 -0.7698 1.1154 1.3516 1.4682
"GCF_000172575.2_ASM17257v2" 2.0698 1.4672 1.555 1.6176 -Inf -1.9111 -2.3839 0.8479 -0.2783 1.4883 1.5022 1.6187
"GCF_000195575.1_ASM19557v1" 1.55 1.2528 1.204 1.3271 -Inf -2.0204 -1.6732 0.6468 -0.5228 0.7677 0.8688 1.1292
"GCF_000193205.1_ASM19320v1" 1.1278 0.4763 1.6187 1.3966 -Inf -0.8598 -2.355 0.4471 -0.5872 0.579 0.0099 0.9224
"GCA_000017965.1_ASM1796v1" 1.592 1.9107 1.9967 1.742 -2.2842 -1.6784 -0.8431 0.8008 -0.7079 1.5048 1.2462 1.5844
"GCF_000011245.1_ASM1124v1" 0.4213 0.9758 1.0882 1.0113 -0.677 -0.741 -0.3396 0.2057 -0.8742 0.2212 0.6071 0.792
"GCF_000023045.1_ASM2304v1" 1.8152 2.5376 2.0142 2.3778 -0.8604 -0.4191 -0.4884 0.9219 0.0396 1.9999 1.5029 1.8823
"GCF_000177235.2_ASM17723v2" 1.2118 1.1219 1.5896 1.6499 -0.8541 -0.2283 -0.2102 0.7167 -0.8528 0.3809 0.7839 1.2619
"GCF_000093085.1_ASM9308v1" 0.1129 1.0875 1.0082 0.8688 0.8605 0.3931 -0.3775 0.4678 -0.1573 0.2533 0.2151 0.5429
"GCF_000009825.1_ASM982v1" 0.4047 0.2163 0.6876 0.608 -1.197 -0.243 -0.4991 0.2568 0.1791 1.1323 0.2821 0.4675
"GCF_000011145.1_ASM1114v1" 0.5776 0.2923 0.801 0.8479 -1.0461 -0.3069 -0.1473 0.3578 -0.4256 0.6305 0.1265 0.5195
"GCF_000005825.2_ASM582v2" 1.2927 1.6796 1.4805 1.4914 -1.2805 -0.201 -0.0963 0.1515 -0.5828 0.6634 0.958 1.2563
"GCF_000024685.1_ASM2468v1" 0.6168 0.3176 0.959 1.1231 -0.5213 -0.5535 -0.4053 0.4866 -0.0975 0.6628 0.4284 0.7599
"GCA_000146875.2_ASM14687v2" 0.9948 1.1825 1.1351 1.6079 -2.7044 -1.575 -0.9558 0.7331 -0.059 0.7549 1.0221 1.2221
"GCF_000235585.1_ASM23558v1" 1.0969 0.3954 1.161 1.5539 -2.1457 -1.5263 -0.9261 0.7275 -0.2975 0.2681 0.7646 1.1043
"GCF_000023585.1_ASM2358v1" 1.3005 0.8141 1.5745 1.5743 -1.9872 -1.4064 -0.6776 1.056 -0.2059 1.8386 1.0405 1.3458
"GCA_000227705.3_ASM22770v3" 0.4876 0.3904 1.2183 0.8918 -0.1509 0.385 -0.1709 0.6838 1.3737 1.2909 0.4955 0.7556
"GCF_000218915.1_ASM21891v1" 0.8111 0.9594 1.1269 1.5513 -0.3175 0.0468 -0.3235 0.7349 0.3403 0.7982 0.7336 1.056
"GCF_000250655.1_ASM25065v1" 0.7435 0.7446 1.1068 1.3215 0.1034 0.1315 -0.3295 0.7041 0.1957 0.7134 0.7299 0.9708
"GCF_000010165.1_ASM1016v1" 1.2168 1.025 1.4617 1.4662 -1.75 -0.8839 -0.6243 0.6689 0.6019 1.2699 1.1467 1.312
"GCF_000092905.1_ASM9290v1" -0.0579 0.28 0.0697 0.3383 0.2426 -0.4792 -0.0773 0.2306 -0.1593 0.2832 0.2172 0.1363
"GCF_000024285.1_ASM2428v1" 0.4369 1.0101 1.2082 1.1983 1.0818 0.9055 0.5102 0.2506 0.5764 1.209 0.4328 0.7889
"GCF_000219875.1_ASM21987v1" 0.4695 0.7784 0.8528 0.9335 1.4034 0.9581 0.5132 0.4115 1.1708 1.4737 0.3282 0.5927
"GCA_000242895.3_ASM24289v3" 1.3474 0.5553 1.3097 1.4348 -1.2369 -0.7351 -0.3716 1.1191 0.6142 0.6903 0.8 1.1829
"GCF_000019045.1_ASM1904v1" 0.0296 -0.5324 0.4621 0.8449 0.0455 -0.3329 -0.3676 0.2967 0.5365 1.1643 0.0203 0.3149
"GCF_000166075.1_ASM16607v1" 0.2102 -0.1995 0.432 0.7775 -0.4069 -0.5037 -0.5202 0.438 0.6538 0.7066 0.1281 0.3446
