"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000233755.1_ASM23375v1" 0.0338 0.0244 0.0446 0.042 0.0499 0.0576 0.048 0.0593 0.0041 0.0254 0.0674 0.0747 0.1023 0.0713 0.0427 0.0318 0.068 0.1074 0.0453
"GCF_000155515.2_ASM15551v2" 0.0339 0.0238 0.044 0.0431 0.0499 0.0585 0.0485 0.0611 0.0041 0.0259 0.0678 0.0745 0.1002 0.0712 0.0423 0.032 0.0684 0.106 0.0447
"GCF_000008925.1_ASM892v1" 0.0416 0.0187 0.0449 0.0584 0.0377 0.0837 0.0684 0.0608 0.006 0.024 0.0822 0.0711 0.0687 0.0647 0.0327 0.0392 0.0573 0.1006 0.0393
"GCF_000014505.1_ASM1450v1" 0.0362 0.0205 0.0451 0.0545 0.0445 0.071 0.0636 0.0611 0.0044 0.0251 0.0806 0.0738 0.0765 0.0692 0.0354 0.0393 0.0612 0.0976 0.0404
"GCA_000237995.2_ASM23799v2" 0.0348 0.0195 0.0469 0.0577 0.0441 0.0703 0.0616 0.061 0.004 0.027 0.0815 0.0741 0.0727 0.0683 0.0343 0.0427 0.0596 0.0982 0.0416
"GCF_000203855.3_ASM20385v3" 0.0367 0.0248 0.0414 0.0459 0.055 0.0535 0.0469 0.0581 0.0053 0.0267 0.0684 0.077 0.0959 0.069 0.0396 0.0325 0.0739 0.105 0.0445
"GCF_000014465.1_ASM1446v1" 0.0358 0.0252 0.0417 0.0426 0.0551 0.0518 0.0478 0.0582 0.0051 0.0246 0.0636 0.0768 0.0967 0.0717 0.0409 0.0337 0.0742 0.1065 0.0481
"GCF_000225325.1_ASM22532v1" 0.038 0.0213 0.0475 0.0612 0.0428 0.0811 0.0588 0.0612 0.0055 0.0223 0.083 0.0708 0.0713 0.0656 0.0359 0.0396 0.0579 0.0986 0.0377
"GCF_000219805.1_ASM21980v1" 0.0356 0.02 0.0448 0.0565 0.0494 0.0658 0.0629 0.0616 0.002 0.0186 0.0821 0.0725 0.0779 0.0684 0.0352 0.0434 0.0597 0.1043 0.0395
"GCF_000014385.1_ASM1438v1" 0.0355 0.0194 0.0535 0.0554 0.0416 0.0773 0.0541 0.0573 0.0044 0.0229 0.0862 0.0655 0.0753 0.0659 0.0346 0.0511 0.0548 0.1046 0.0408
"GCF_000234825.3_ASM23482v3" 0.0359 0.0213 0.047 0.0544 0.0459 0.0653 0.0578 0.0597 0.0025 0.0217 0.08 0.0746 0.0818 0.0679 0.0351 0.0446 0.0651 0.1009 0.0387
"GCF_000092505.1_ASM9250v1" 0.0359 0.0224 0.0451 0.0531 0.049 0.0634 0.054 0.0614 0.002 0.0206 0.0792 0.0755 0.0845 0.0674 0.035 0.0429 0.0675 0.1007 0.0404
"GCF_000026405.1_ASM2640v1" 0.0361 0.0227 0.0456 0.051 0.0516 0.06 0.0523 0.0602 0.0021 0.0205 0.0767 0.0757 0.0898 0.0682 0.036 0.0407 0.0672 0.102 0.0416
"GCF_000159455.2_ASM15945v2" 0.0401 0.0259 0.0424 0.056 0.0501 0.071 0.0578 0.0598 0.0068 0.0235 0.0751 0.0685 0.0772 0.0651 0.0376 0.0351 0.0605 0.0993 0.0483
"GCF_000010145.1_ASM1014v1" 0.0363 0.024 0.0411 0.0438 0.0495 0.058 0.0581 0.0595 0.0064 0.0207 0.0615 0.0782 0.0929 0.0723 0.0408 0.0364 0.0653 0.1044 0.051
"GCF_000006865.1_ASM686v1" 0.0369 0.0186 0.0495 0.0539 0.0383 0.0765 0.0724 0.0549 0.0048 0.0214 0.0801 0.0681 0.0761 0.0682 0.0334 0.0474 0.0594 0.1029 0.0371
"GCF_000009425.1_ASM942v1" 0.0377 0.0185 0.0505 0.0536 0.039 0.0768 0.0721 0.054 0.0054 0.0215 0.0801 0.0671 0.0749 0.067 0.0333 0.0467 0.059 0.1047 0.0383
"GCF_000014545.1_ASM1454v1" 0.0383 0.0186 0.0507 0.0536 0.0396 0.0778 0.0708 0.053 0.0058 0.022 0.0792 0.0672 0.074 0.0663 0.0333 0.0471 0.059 0.1052 0.0385
"GCF_000269925.1_ASM26992v1" 0.0367 0.0193 0.0495 0.0487 0.0406 0.0723 0.0747 0.055 0.0051 0.0214 0.0764 0.0706 0.0819 0.0685 0.035 0.0415 0.0589 0.1038 0.0399
"GCF_000253335.1_ASM25333v1" 0.0406 0.0197 0.0471 0.0479 0.0395 0.0707 0.0694 0.0626 0.0055 0.0224 0.0723 0.0742 0.0798 0.0674 0.034 0.0432 0.0609 0.1026 0.0401
"GCF_000011845.1_ASM1184v1" 0.0392 0.0199 0.048 0.0477 0.0393 0.0713 0.0698 0.0598 0.0064 0.0213 0.0767 0.0729 0.0754 0.0673 0.034 0.0445 0.059 0.1048 0.0427
"GCF_000270165.1_ASM27016v1" 0.0399 0.0196 0.0483 0.0493 0.0391 0.0695 0.0695 0.061 0.0068 0.0224 0.0786 0.0726 0.0777 0.066 0.0323 0.0429 0.0613 0.1031 0.0401
"GCF_000213825.1_ASM21382v1" 0.0384 0.0196 0.0487 0.0522 0.043 0.0771 0.0654 0.056 0.0074 0.0221 0.0848 0.0679 0.0711 0.0639 0.0334 0.0452 0.0576 0.1084 0.0377
"GCF_000009545.1_ASM954v1" 0.0381 0.0211 0.0495 0.0479 0.0419 0.0731 0.0696 0.0589 0.0059 0.0222 0.0824 0.0677 0.0755 0.0668 0.0346 0.0445 0.0565 0.1056 0.0382
"GCF_000010705.1_ASM1070v1" 0.0389 0.0217 0.0463 0.0437 0.0454 0.0695 0.0659 0.0589 0.0067 0.0231 0.0747 0.0698 0.0804 0.0666 0.0355 0.0416 0.0604 0.1089 0.0419
