"ENCp_HEG" "ENCp_rest" "deltaENCp"
"GCF_000011145.1_ASM1114v1" 44.9479 56.0422 0.198
"GCF_000005825.2_ASM582v2" 43.2098 56.913 0.2408
"GCF_000024685.1_ASM2468v1" 44.56 54.2012 0.1779
"GCA_000146875.2_ASM14687v2" 43.3083 55.5736 0.2207
"GCF_000235585.1_ASM23558v1" 43.0474 55.1363 0.2193
"GCF_000023585.1_ASM2358v1" 42.1465 53.4565 0.2116
"GCA_000227705.3_ASM22770v3" 48.1727 51.1199 0.0577
"GCF_000218915.1_ASM21891v1" 44.488 54.2012 0.1792
"GCF_000250655.1_ASM25065v1" 45.3141 54.6966 0.1715
"GCF_000010165.1_ASM1016v1" 41.3374 55.5593 0.256
"GCF_000092905.1_ASM9290v1" 53.514 54.4083 0.0164
"GCF_000024285.1_ASM2428v1" 51.2177 55.2545 0.0731
"GCF_000219875.1_ASM21987v1" 51.5263 55.6314 0.0738
"GCA_000242895.3_ASM24289v3" 48.1889 58.1932 0.1719
"GCF_000019045.1_ASM1904v1" 41.8097 49.5177 0.1557
"GCF_000166075.1_ASM16607v1" 42.9241 49.8679 0.1392
"GCF_000023385.1_ASM2338v1" 43.6369 51.0389 0.145
"GCF_000009785.1_ASM978v1" 40.4691 49.101 0.1758
"GCF_000236605.1_ASM23660v1" 40.7092 48.9952 0.1691
"GCF_000015745.1_ASM1574v1" 40.5902 50.7628 0.2004
"GCF_000015785.1_ASM1578v1" 44.7898 52.4363 0.1458
"GCF_000221645.1_ASM22164v1" 44.7241 52.8518 0.1538
"GCF_000283695.1_ASM28369v1" 45.8696 52.5633 0.1273
"GCF_000165925.1_ASM16592v1" 45.1753 54.979 0.1783
"GCF_000186745.1_ASM18674v1" 43.9606 54.7609 0.1972
"GCF_000227485.1_ASM22748v1" 44.1172 54.6207 0.1923
"GCF_000227465.1_ASM22746v1" 44.1865 54.66 0.1916
"GCF_000017885.4_ASM1788v4" 45.4484 56.3024 0.1928
"GCF_000008425.1_ASM842v1" 45.4884 53.6914 0.1528
"GCF_000017425.1_ASM1742v1" 40.1947 53.9662 0.2552
"GCF_000021305.1_ASM2130v1" 40.9264 54.7045 0.2519
"GCF_000193355.1_ASM19335v1" 40.8779 55.0335 0.2572
"GCF_000092165.1_ASM9216v1" 40.5754 54.5646 0.2564
"GCF_000190515.1_ASM19051v1" 40.6397 54.5303 0.2547
"GCF_000008005.1_ASM800v1" 40.7049 54.4705 0.2527
"GCF_000008165.1_ASM816v1" 40.1907 53.9357 0.2548
"GCF_000021785.1_ASM2178v1" 40.6743 54.4204 0.2526
"GCF_000283675.1_ASM28367v1" 40.6124 54.4076 0.2536
"GCF_000018825.1_ASM1882v1" 41.8343 54.7971 0.2366
"GCF_000225265.1_ASM22526v1" 42.741 54.7282 0.219
"GCF_000025825.1_ASM2582v1" 43.4477 54.8233 0.2075
"GCF_000217835.1_ASM21783v1" 46.1796 50.6576 0.0884
"GCF_000010585.1_ASM1058v1" 41.9506 54.2131 0.2262
"GCF_000185885.1_ASM18588v1" 40.5735 50.0147 0.1888
"GCF_000009405.1_ASM940v1" 42.1327 51.9073 0.1883
"GCF_000010125.1_ASM1012v1" 43.3601 53.9732 0.1966
"GCF_000009865.1_ASM986v1" 42.6636 54.3437 0.2149
"GCF_000025085.1_ASM2508v1" 44.3105 53.4391 0.1708
"GCF_000007645.1_ASM764v1" 44.4882 55.866 0.2037
"GCF_000024585.1_ASM2458v1" 42.0613 53.4511 0.2131
"GCF_000245495.1_ASM24549v1" 41.9166 53.3319 0.214
"GCF_001602155.1_ASM160215v1" 42.8012 53.9857 0.2072
"GCF_000210615.1_ASM21061v1" 40.4186 55.8936 0.2769
"GCA_000210735.1_ASM21073v1" 44.4815 52.2585 0.1488
"GCF_000179635.2_ASM17963v2" 40.4217 52.4249 0.229
"GCF_000210095.1_ASM21009v1" 43.0148 47.821 0.1005
"GCF_000178115.2_ASM17811v2" 47.476 51.4005 0.0764
"GCF_000178835.2_ASM17883v2" 44.8559 57.1309 0.2149
"GCA_000210555.1_ASM21055v1" 43.358 51.3919 0.1563
"GCF_000146185.1_ASM14618v1" 39.7427 50.2899 0.2097
"GCF_000145035.1_ASM14503v1" 39.1913 51.7511 0.2427
"GCF_000270305.1_ASM27030v1" 44.184 46.7898 0.0557
"GCA_000209815.1_ASM20981v1" 41.1397 51.0675 0.1944
"GCF_000225345.1_ASM22534v1" 42.7454 51.0284 0.1623
"GCA_000210655.1_ASM21065v1" 43.9995 50.4217 0.1274
"GCF_000020605.1_ASM2060v1" 40.9701 53.0479 0.2277
"GCF_000144625.1_ASM14462v1" 46.1124 53.1991 0.1332
"GCA_000210535.1_ASM21053v1" 42.9765 51.7906 0.1702
"GCA_000209895.1_ASM20989v1" 40.1806 51.3168 0.217
"GCF_000018685.1_ASM1868v1" 45.3551 57.267 0.208
"GCF_000247605.1_ASM24760v1" 53.3296 52.6777 -0.0124
"GCF_000152245.2_ASM15224v2" 47.4722 52.8862 0.1024
"GCF_000025225.2_ASM2522v1" 48.682 54.4333 0.1057
"GCF_000244875.1_ASM24487v1" 50.4412 56.6107 0.109
"GCF_000022065.1_ASM2206v1" 50.7071 56.9017 0.1089
"GCF_000184925.1_ASM18492v1" 51.8275 54.9245 0.0564
"GCF_000237085.1_ASM23708v1" 52.4134 56.7892 0.0771
"GCF_000016545.1_ASM1654v1" 48.9094 55.0654 0.1118
"GCF_000166355.1_ASM16635v1" 47.63 54.5005 0.1261
"GCF_000166775.1_ASM16677v1" 48.6597 54.6362 0.1094
"GCF_000166695.1_ASM16669v1" 47.7448 54.5832 0.1253
"GCF_000166335.1_ASM16633v1" 49.5374 54.6035 0.0928
"GCF_000145215.1_ASM14521v1" 49.0028 54.5457 0.1016
"GCF_000213235.1_ASM21323v1" 56.0886 57.7777 0.0292
"GCF_000144645.1_ASM14464v1" 53.4901 55.637 0.0386
"GCF_000166415.1_ASM16641v1" 53.1759 56.1533 0.053
"GCF_000165465.1_ASM16546v1" 52.5543 55.6092 0.0549
"GCF_000020485.1_ASM2048v1" 49.9591 51.9832 0.0389
"GCF_000144695.1_ASM14469v1" 49.9375 54.3425 0.0811
"GCF_000020005.1_ASM2000v1" 56.4692 57.8157 0.0233
"GCA_000219855.1_ASM21985v1" 48.6887 50.0736 0.0277
"GCF_000184705.1_ASM18470v1" 53.0506 54.6514 0.0293
"GCF_000009905.1_ASM990v1" 53.4849 55.1698 0.0305
"GCF_000195335.1_ASM19533v1" 54.1327 57.1771 0.0532
"GCF_000183745.1_ASM18374v1" 52.7285 55.7269 0.0538
"GCF_000092125.1_ASM9212v1" 53.3447 56.3296 0.053
"GCF_000024425.1_ASM2442v1" 49.6921 52.5274 0.054
"GCF_000187005.1_ASM18700v1" 52.9237 54.0072 0.0201
"GCF_000309885.1_ASM30988v1" 53.84 54.2018 0.0067
"GCF_000236585.1_ASM23658v1" 53.5065 54.1079 0.0111
"GCF_000258245.1_ASM25824v1" 54.2861 55.0108 0.0132
"GCF_000091545.1_ASM9154v1" 54.3741 54.8898 0.0094
"GCF_000186385.1_ASM18638v1" 47.8967 52.1197 0.081
"GCF_000317835.1_ASM31783v1" 48.8578 53.5147 0.087
"GCF_000252445.1_ASM25244v1" 48.46 53.664 0.097
"GCF_000020685.1_ASM2068v1" 47.3937 52.3979 0.0955
"GCF_000008565.1_ASM856v1" 47.1556 53.1436 0.1127
"GCF_000190555.1_ASM19055v1" 42.7719 49.6792 0.139
"GCF_000196275.1_ASM19627v1" 50.35 54.6589 0.0788
"GCF_000092425.1_ASM9242v1" 49.505 53.5276 0.0752
"GCF_000011385.1_ASM1138v1" 51.7484 54.0502 0.0426
"GCF_000013225.1_ASM1322v1" 51.0236 52.7228 0.0322
"GCF_000013205.1_ASM1320v1" 52.4439 53.2835 0.0158
"GCF_000063525.1_ASM6352v1" 50.4425 51.3005 0.0167
"GCF_000014585.1_ASM1458v1" 53.5082 56.3149 0.0498
"GCF_000063505.1_ASM6350v1" 51.7149 54.2085 0.046
"GCF_000195975.1_ASM19597v1" 50.8054 54.0951 0.0608
"GCF_000012625.1_ASM1262v1" 50.847 54.4532 0.0662
"GCF_000012505.1_ASM1250v1" 53.1246 55.5938 0.0444
"GCF_000018585.1_ASM1858v1" 56.5788 57.8627 0.0222
"GCF_000011465.1_ASM1146v1" 56.6435 56.8958 0.0044
"GCF_000015665.1_ASM1566v1" 56.392 56.9592 0.01
"GCF_000018065.1_ASM1806v1" 56.6708 56.8584 0.0033
"GCF_000015965.1_ASM1596v1" 55.7335 56.8588 0.0198
"GCF_000015645.1_ASM1564v1" 55.8665 56.855 0.0174
"GCF_000012645.1_ASM1264v1" 56.4244 56.7918 0.0065
"GCF_000015685.1_ASM1568v1" 55.8295 57.572 0.0303
"GCF_000015705.1_ASM1570v1" 55.2849 56.9504 0.0292
"GCF_000012525.1_ASM1252v1" 50.1708 54.295 0.076
"GCF_000011345.1_ASM1134v1" 50.6658 52.887 0.042
"GCF_000022045.1_ASM2204v1" 49.9285 53.2598 0.0625
"GCF_000018105.1_ASM1810v1" 53.8056 55.9505 0.0383
"GCF_000014265.1_ASM1426v1" 54.7304 57.1946 0.0431
"GCF_000210375.1_ASM21037v1" 53.0969 55.2706 0.0393
"GCF_000020025.1_ASM2002v1" 52.611 56.143 0.0629
"GCA_000204075.1_ASM20407v1" 52.5435 55.5043 0.0533
"GCF_000196515.1_ASM19651v1" 52.2236 56.4928 0.0756
"GCF_000021805.1_ASM2180v1" 50.3865 52.6258 0.0426
"GCF_000017845.1_ASM1784v1" 50.2994 52.8633 0.0485
"GCF_000010625.1_ASM1062v1" 49.3026 54.3605 0.093
"GCF_000021825.1_ASM2182v1" 51.6208 53.0853 0.0276
"GCF_000147335.1_ASM14733v1" 51.8021 54.5936 0.0511
"GCF_000019485.1_ASM1948v1" 51.7164 52.8267 0.021
"GCF_000009725.1_ASM972v1" 48.6257 52.0744 0.0662
"GCF_000143165.1_ASM14316v1" 50.6146 52.4177 0.0344
"GCF_000025585.1_ASM2558v1" 50.6647 52.3364 0.0319
"GCF_000011905.1_ASM1190v1" 49.8839 51.0391 0.0226
"GCF_000025025.1_ASM2502v1" 50.234 52.1879 0.0374
"GCF_000021685.1_ASM2168v1" 53.1748 54.8228 0.0301
"GCF_000024985.1_ASM2498v1" 55.7245 56.3164 0.0105
"GCF_000025005.1_ASM2500v1" 54.747 56.9534 0.0387
"GCA_000018565.1_ASM1856v1" 39.9164 46.4051 0.1398
"GCF_000021945.1_ASM2194v1" 50.5975 53.3616 0.0518
"GCF_000022185.1_ASM2218v1" 50.2044 53.3606 0.0591
"GCF_000016665.1_ASM1666v1" 49.6457 52.1182 0.0474
"GCF_000017805.1_ASM1780v1" 48.9784 52.0227 0.0585
"GCF_000199675.1_ASM19967v1" 48.7277 51.921 0.0615
"GCF_000023845.1_ASM2384v1" 49.7202 53.886 0.0773
"GCF_000270285.1_ASM27028v1" 48.9887 53.9098 0.0913
"GCF_000210055.1_ASM21005v1" 49.2949 53.6494 0.0812
"GCF_000024265.1_ASM2426v1" 48.3949 52.4468 0.0773
"GCF_000023885.1_ASM2388v1" 46.6837 52.9556 0.1184
"GCF_000024225.1_ASM2422v1" 42.4545 53.0789 0.2002
"GCF_000143845.1_ASM14384v1" 51.9901 56.5592 0.0808
"GCF_000195315.1_ASM19531v1" 52.2957 54.611 0.0424
"GCF_000177615.2_ASM17761v2" 53.7613 55.2877 0.0276
"GCF_000058485.1_ASM5848v1" 53.0908 55.8369 0.0492
"GCF_000013345.1_ASM1334v1" 53.3386 56.0317 0.0481
"GCF_000018005.1_ASM1800v1" 53.2863 56.2233 0.0522
"GCF_000166135.1_ASM16613v1" 52.163 55.3838 0.0582
"GCF_000015025.1_ASM1502v1" 55.1613 55.404 0.0044
"GCF_000023405.1_ASM2340v1" 51.8633 54.7823 0.0533
"GCF_000025205.1_ASM2520v1" 40.7811 50.1541 0.1869
"GCF_000213955.1_ASM21395v1" 40.4513 51.3113 0.2116
"GCF_000024445.1_ASM2444v1" 42.7889 50.2787 0.149
"GCF_000010425.1_ASM1042v1" 42.076 49.5409 0.1507
"GCF_000165905.1_ASM16590v1" 45.842 52.0434 0.1192
"GCF_000213865.1_ASM21386v1" 44.6877 51.6487 0.1348
"GCF_000092325.1_ASM9232v1" 43.719 51.5798 0.1524
"GCF_000210755.1_ASM21075v1" 43.6348 51.2387 0.1484
"GCF_000022705.1_ASM2270v1" 44.8504 51.8599 0.1352
"GCF_000224965.2_ASM22496v2" 44.8504 51.8436 0.1349
"GCF_000196535.1_ASM19653v1" 46.6784 53.8375 0.133
"GCF_000092365.1_ASM9236v1" 41.1282 53.0724 0.2251
"GCF_000023105.1_ASM2310v1" 49.9479 55.2424 0.0958
"GCF_000218545.1_ASM21854v1" 47.782 53.5707 0.1081
"GCF_000092865.1_ASM9286v1" 48.6293 54.2639 0.1038
"GCF_000024925.1_ASM2492v1" 47.6996 54.174 0.1195
"GCF_000024065.1_ASM2406v1" 45.7204 55.1286 0.1707
"GCF_000215105.1_ASM21510v1" 48.3081 54.9788 0.1213
"GCF_000024965.1_ASM2496v1" 47.8182 55.5433 0.1391
"GCF_000202635.1_ASM20263v1" 46.9761 54.1983 0.1333
"GCF_000007665.1_ASM766v1" 49.971 56.1967 0.1108
"GCF_000063485.1_ASM6348v1" 50.0695 55.4084 0.0964
"GCF_000197735.1_ASM19773v1" 38.1208 51.8291 0.2645
"GCF_000196235.1_ASM19623v1" 44.3121 54.7937 0.1913
"GCF_000189535.1_ASM18953v1" 45.5786 54.7399 0.1674
"GCF_000022025.1_ASM2202v1" 44.9043 54.0178 0.1687
"GCF_000014925.1_ASM1492v1" 44.4516 56.3477 0.2111
"GCF_000018885.1_ASM1888v1" 45.8601 55.9764 0.1807
"GCF_000010285.1_ASM1028v1" 47.3628 54.0684 0.124
"GCF_000164695.2_ASM16469v2" 42.499 55.0045 0.2274
"GCF_000011025.1_ASM1102v1" 39.1798 48.1627 0.1865
"GCF_000023205.1_ASM2320v1" 48.8554 55.1906 0.1148
"GCF_000017305.1_ASM1730v1" 50.5018 55.9023 0.0966
"GCF_000023925.1_ASM2392v1" 48.3513 54.4311 0.1117
"GCF_000184685.1_ASM18468v1" 50.3148 55.9306 0.1004
"GCF_000015265.1_ASM1526v1" 50.8044 55.83 0.09
"GCF_000270245.1_ASM27024v1" 50.336 54.0536 0.0688
"GCF_000008345.1_ASM834v1" 51.0423 57.4315 0.1112
"GCF_000240055.1_ASM24005v1" 51.0307 57.356 0.1103
"GCF_000024345.1_ASM2434v1" 49.1955 53.9134 0.0875
"GCF_000024025.1_ASM2402v1" 51.0204 54.4109 0.0623
"GCF_000269985.1_ASM26998v1" 48.053 54.1196 0.1121
"GCF_000237305.1_ASM23730v1" 48.2812 54.6225 0.1161
"GCF_000203835.1_ASM20383v1" 48.4543 55.4483 0.1261
"GCF_000092385.1_ASM9238v1" 50.1062 55.5004 0.0972
"GCA_000147815.3_ASM14781v3" 50.3604 55.2666 0.0888
"GCF_000010605.1_ASM1060v1" 48.9289 55.8884 0.1245
"GCF_000213055.1_ASM21305v1" 49.9901 57.0853 0.1243
"GCF_000091305.1_ASM9130v1" 48.5775 55.5156 0.125
"GCF_000009765.2_ASM976v2" 49.0526 55.7335 0.1199
"GCF_000092825.1_ASM9282v1" 53.0674 56.4844 0.0605
"GCF_000023145.1_ASM2314v1" 47.9239 57.1811 0.1619
"GCF_000069945.1_ASM6994v1" 40.716 53.8897 0.2445
"GCF_000006605.1_ASM660v1" 40.6051 52.9952 0.2338
"GCF_000177535.2_ASM17753v2" 37.9141 55.0314 0.311
"GCF_000179395.2_ASM17939v2" 44.2941 52.6471 0.1587
"GCF_000022905.1_ASM2290v1" 42.3982 54.2018 0.2178
"GCF_000215645.1_ASM21564v1" 42.6951 57.3345 0.2553
"GCF_000255935.1_ASM25593v1" 43.4856 57.7704 0.2473
"GCF_000152065.1_ASM15206v1" 43.4225 57.7001 0.2474
"GCF_000195815.1_ASM19581v1" 39.9771 55.4791 0.2794
"GCF_000255235.1_ASM25523v1" 39.8603 55.4708 0.2814
"GCF_000011305.1_ASM1130v1" 42.6388 51.7544 0.1761
"GCF_000011325.1_ASM1132v1" 40.4658 53.5724 0.2447
"GCF_000214175.1_ASM21417v1" 50.5586 56.9729 0.1126
"GCF_000009805.1_ASM980v1" 47.4676 53.5554 0.1137
"GCF_000284035.1_ASM28403v1" 46.7655 52.1151 0.1026
"GCF_000196695.1_ASM19669v1" 47.0472 54.16 0.1313
"GCF_000010105.1_ASM1010v1" 46.5717 54.5753 0.1467
"GCF_000010805.1_ASM1080v1" 48.163 55.1261 0.1263
"GCF_000014565.1_ASM1456v1" 47.7926 55.3903 0.1372
"GCF_000092225.1_ASM9222v1" 48.0229 54.5443 0.1196
"GCF_000024785.1_ASM2478v1" 47.6517 53.7177 0.1129
"GCF_000247715.1_ASM24771v1" 47.0378 53.4783 0.1204
"GCA_000230895.3_ASM23089v3" 51.5789 55.2015 0.0656
"GCF_000266905.1_ASM26690v1" 51.9643 54.8554 0.0527
