"genome_id" "Genome_Name" "rRNA_CN_rrnDB" "rRNA_CN_IMG" "rRNA_CN_final"
"GCF_000014125.1_ASM1412v1" "Clostridium novyi NT" 10 9.67 10
"GCF_000145275.1_ASM14527v1" "Clostridium cellulovorans 743B, ATCC 35296" 9 9.33 9
"GCF_000191905.1_ASM19190v1" "Clostridium acetobutylicum EA 2018" 11 11 11
"GCF_000024105.1_ASM2410v1" "Anaerococcus prevotii PC 1, DSM 20548" 4 4 4
"GCF_000010185.1_ASM1018v1" "Finegoldia magna ATCC 29328" 4 4 4
"GCF_000163895.2_ASM16389v2" "Filifactor alocis ATCC 35896" 4 4 4
"GCF_000196455.1_ASM19645v1" "Clostridium sticklandii DSM 519" 6 6 6
"GCF_000085225.1_ASM8522v1" "Clostridium difficile CD196" 10 9.67 10
"GCF_000016985.1_ASM1698v1" "Alkaliphilus metalliredigens QYMF" 10 10.33 10
"GCF_000018325.1_ASM1832v1" "Alkaliphilus oremlandii OhILAs" 8 8.67 8
"GCF_000024405.1_ASM2440v1" "Sebaldella termitidis ATCC 33386" 4 4.33 4
"GCF_000023905.1_ASM2390v1" "Leptotrichia buccalis C-1013-b, DSM 1135" 5 5 5
"GCF_000024565.1_ASM2456v1" "Streptobacillus moniliformis 9901, DSM 12112" 5 5.33 5
"GCF_000165505.1_ASM16550v1" "Ilyobacter polytropus CuHBu1, DSM 2926" 8 8.67 8
"GCF_000007325.1_ASM732v1" "Fusobacterium nucleatum nucleatum ATCC 25586" 5 4 5
"GCF_000158275.2_ASM15827v2" "Fusobacterium nucleatum animalis 7_1" 5 0.67 5
"GCF_000027145.1_ASM2714v1" "Listeria seeligeri sv. 1/2b SLCC3954" 6 6 6
"GCF_000060285.1_ASM6028v1" "Listeria welshimeri sv. 6b, SLCC5334" 6 6 6
"GCF_000196035.1_ASM19603v1" "Listeria monocytogenes sv. 1/2a EGD-e" 6 6 6
"GCF_000252975.1_ASM25297v1" "Listeria ivanovii ivanovii PAM 55" 6 6 6
"GCF_000168635.2_ASM16863v2" "Listeria monocytogenes sv. 1/2a J0161" 5 5 5
"GCF_000008285.1_ASM828v1" "Listeria monocytogenes sv. 4b F2365" 6 6 6
"GCF_000091405.1_ASM9140v1" "Lactobacillus johnsonii FI9785" 4 4 4
"GCF_000014425.1_ASM1442v1" "Lactobacillus gasseri ATCC 33323" 6 6.33 6
"GCF_000191165.1_ASM19116v1" "Lactobacillus delbrueckii bulgaricus 2038" 9 9 9
"GCF_000182835.1_ASM18283v1" "Lactobacillus delbrueckii bulgaricus ND02" 9 9 9
"GCF_000091765.1_ASM9176v1" "Lactobacillus crispatus ST1" NA 4 4
"GCF_000214785.1_ASM21478v1" "Lactobacillus kefiranofaciens ZW3" 4 4 4
"GCF_000189515.1_ASM18951v1" "Lactobacillus helveticus H10" 4 4 4
"GCF_000011985.1_ASM1198v1" "Lactobacillus acidophilus NCFM" 4 4.33 4
"GCF_000182855.2_ASM18285v1" "Lactobacillus amylovorus GRL 1112" NA 4 4
"GCF_000026065.1_ASM2606v1" "Lactobacillus sakei sakei 23K" 7 7 7
"GCF_000011045.1_ASM1104v1" "Lactobacillus rhamnosus GG" 5 5 5
"GCF_000233755.1_ASM23375v1" "Lactobacillus rhamnosus K, ATCC 8530" 5 5 5
"GCF_000155515.2_ASM15551v2" "Lactobacillus paracasei 8700:2" 5 0.67 5
"GCF_000008925.1_ASM892v1" "Lactobacillus salivarius salivarius UCC118" 7 7 7
"GCF_000014505.1_ASM1450v1" "Pediococcus pentosaceus ATCC 25745" 5 5.33 5
"GCA_000237995.2_ASM23799v2" "Pediococcus claussenii P06, ATCC BAA-344" 4 4 4
"GCF_000203855.3_ASM20385v3" "Lactobacillus plantarum WCFS1" 5 5.33 5
"GCF_000014465.1_ASM1446v1" "Lactobacillus brevis ATCC 367" 5 5.33 5
"GCF_000225325.1_ASM22532v1" "Lactobacillus sanfranciscensis TMW 1.1304" 7 7 7
"GCF_000219805.1_ASM21980v1" "Weissella koreensis KACC 15510" 5 5 5
"GCF_000014385.1_ASM1438v1" "Oenococcus oeni PSU-1" 2 2.33 2
"GCF_000234825.3_ASM23482v3" "Leuconostoc mesenteroides mesenteroides J18" 4 4 4
"GCF_000092505.1_ASM9250v1" "Leuconostoc kimchii IMSNU11154" 4 4 4
"GCF_000026405.1_ASM2640v1" "Leuconostoc citreum KM20" 4 4 4
"GCF_000159455.2_ASM15945v2" "Lactobacillus reuteri SD2112, ATCC 55730" 6 6 6
"GCF_000010145.1_ASM1014v1" "Lactobacillus fermentum IFO 3956" 5 5 5
"GCF_000006865.1_ASM686v1" "Lactococcus lactis lactis Il1403" 6 6 6
"GCF_000009425.1_ASM942v1" "Lactococcus lactis cremoris MG1363" 6 4.67 6
"GCF_000014545.1_ASM1454v1" "Lactococcus lactis cremoris SK11" 6 7 6
"GCF_000269925.1_ASM26992v1" "Lactococcus garvieae sv. KG+" 5 5 5
"GCF_000253335.1_ASM25333v1" "Streptococcus salivarius CCHSS3" 6 6 6
"GCF_000011845.1_ASM1184v1" "Streptococcus thermophilus CNRZ1066" 6 6 6
"GCF_000270165.1_ASM27016v1" "Streptococcus pasteurianus ATCC 43144" 5 5 5
"GCF_000213825.1_ASM21382v1" "Streptococcus parauberis KCTC 11537" 5 5 5
"GCF_000009545.1_ASM954v1" "Streptococcus uberis 0140J" 5 5 5
"GCF_000010705.1_ASM1070v1" "Streptococcus dysgalactiae equisimilis sv. G GGS_124" 5 5 5
"GCF_000219765.1_ASM21976v1" "Streptococcus equi zooepidemicus ATCC 35246" 5 5 5
"GCF_000020765.1_ASM2076v1" "Streptococcus equi zooepidemicus MGCS10565" 5 5 5
"GCF_000230295.1_ASM23029v1" "Streptococcus pyogenes Alab49" 6 6 6
"GCF_000012165.1_ASM1216v1" "Streptococcus pyogenes sv. M28 MGAS6180" 6 6 6
"GCF_000196055.1_ASM19605v1" "Streptococcus agalactiae sv. III/III NEM316" 7 7 7
"GCF_000007465.2_ASM746v2" "Streptococcus mutans sv. C UA159" 5 5 5
"GCF_000164675.2_ASM16467v2" "Streptococcus parasanguinis ATCC 15912" 4 4 4
"GCF_000253155.1_ASM25315v1" "Streptococcus oralis Uo5" 4 4 4
"GCF_000027165.1_ASM2716v1" "Streptococcus mitis B6" 4 4 4
"GCF_000221985.1_ASM22198v1" "Streptococcus pseudopneumoniae IS7493" 1 1 1
"GCF_000251085.2_ASM25108v2" "Streptococcus pneumoniae ST556" 4 4 4
"GCF_000019025.1_ASM1902v1" "Streptococcus pneumoniae sv. 19F Taiwan19F-14" 4 4 4
"GCF_000007045.1_ASM704v1" "Streptococcus pneumoniae R6" 4 4 4
"GCF_000017005.1_ASM1700v1" "Streptococcus gordonii Challis CH1" 4 4 4
"GCF_000014205.1_ASM1420v1" "Streptococcus sanguinis SK36" 4 4 4
"GCF_000018185.1_ASM1818v1" "Streptococcus suis sv. 2 GZ1" 4 4 4
"GCF_000231865.1_ASM23186v1" "Streptococcus suis SS12" 4 4 4
"GCF_000231885.1_ASM23188v1" "Streptococcus suis D9" 4 4 4
"GCF_000283615.1_ASM28361v1" "Tetragenococcus halophilus NBRC 12172" 5 5 5
"GCF_000166815.1_ASM16681v1" "Enterococcus faecium DO" NA 1 1
"GCF_000270185.1_ASM27018v1" "Melissococcus plutonius ATCC 35311" NA 4 4
"GCA_000210115.1_ASM21011v1" "Enterococcus sp. 7L76" NA 1 1
"GCF_000007785.1_ASM778v1" "Enterococcus faecalis V583" 4 4 4
"GCF_000172575.2_ASM17257v2" "Enterococcus faecalis OG1RF, ATCC 47077" 4 4 4
"GCF_000195575.1_ASM19557v1" "Carnobacterium sp. 17-4" 8 8.33 8
"GCF_000193205.1_ASM19320v1" "Aerococcus urinae ACS-120-V-Col10a" 4 4 4
"GCA_000017965.1_ASM1796v1" "Lysinibacillus sphaericus sv. H5a5b C3-41" NA 10.33 10.33
"GCF_000011245.1_ASM1124v1" "Oceanobacillus iheyensis HTE831" 7 7.33 7
"GCF_000023045.1_ASM2304v1" "Exiguobacterium sp. AT1b" 9 9 9
"GCF_000177235.2_ASM17723v2" "Bacillus cellulosilyticus N-4, DSM 2522" 10 10 10
"GCF_000093085.1_ASM9308v1" "Bacillus selenitireducens MLS10" 7 7.33 7
"GCF_000009825.1_ASM982v1" "Bacillus clausii KSM-K16" 7 7.33 7
"GCF_000011145.1_ASM1114v1" "Bacillus halodurans C-125" 8 8.33 8
"GCF_000005825.2_ASM582v2" "Bacillus pseudofirmus OF4" 7 7.33 7
"GCF_000024685.1_ASM2468v1" "Paenibacillus lautus Y412MC10" 8 8 8
"GCA_000146875.2_ASM14687v2" "Paenibacillus polymyxa E681" 12 12 12
"GCF_000235585.1_ASM23558v1" "Paenibacillus terrae HPL-003" 9 9.33 9
"GCF_000023585.1_ASM2358v1" "Paenibacillus sp. JDR-2" 12 11.67 12
"GCA_000227705.3_ASM22770v3" "Thermobacillus composti KWC4, DSM 18247" 5 5 5
"GCF_000218915.1_ASM21891v1" "Paenibacillus mucilaginosus KNP414" 13 13 13
"GCF_000250655.1_ASM25065v1" "Paenibacillus mucilaginosus 3016" 14 14 14
"GCF_000010165.1_ASM1016v1" "Brevibacillus brevis NBRC 100599" 15 14.67 15
"GCF_000092905.1_ASM9290v1" "Kyrpidia tusciae T2, DSM 2912" 5 5 5
"GCF_000024285.1_ASM2428v1" "Alicyclobacillus acidocaldarius acidocaldarius 104-IA, DSM 446" 6 6 6
"GCF_000219875.1_ASM21987v1" "Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1" 6 6 6
"GCA_000242895.3_ASM24289v3" "Bacillus sp. 1NLA3E" 12 12 12
"GCF_000019045.1_ASM1904v1" "Anoxybacillus flavithermus WK1, DSM 2641" 8 8 8
"GCF_000166075.1_ASM16607v1" "Geobacillus sp. Y4.1MC1" 10 9 10
"GCF_000023385.1_ASM2338v1" "Geobacillus sp. WCH70" 10 9.33 10
"GCF_000009785.1_ASM978v1" "Geobacillus kaustophilus HTA426" 9 9 9
"GCF_000236605.1_ASM23660v1" "Geobacillus thermoleovorans CCB_US3_UF5" 9 9 9
"GCF_000015745.1_ASM1574v1" "Geobacillus thermodenitrificans NG80-2" 10 10 10
"GCF_000015785.1_ASM1578v1" "Bacillus amyloliquefaciens plantarum FZB42" 9 10 9
"GCF_000221645.1_ASM22164v1" "Bacillus amyloliquefaciens XH7" 7 7 7
"GCF_000283695.1_ASM28369v1" "Bacillus amyloliquefaciens CAU-B946" 10 10 10
"GCF_000165925.1_ASM16592v1" "Bacillus atrophaeus 1942" 7 7 7
"GCF_000186745.1_ASM18674v1" "Bacillus subtilis BSn5" 10 10 10
"GCF_000227485.1_ASM22748v1" "Bacillus subtilis subtilis RO-NN-1" 10 10 10
"GCF_000227465.1_ASM22746v1" "Bacillus subtilis spizizenii TU-B-10, DSM 15029" 10 10 10
"GCF_000017885.4_ASM1788v4" "Bacillus pumilus SAFR-032" 7 7 7
"GCF_000008425.1_ASM842v1" "Bacillus licheniformis DSM 13 Novozymes" 7 7 7
"GCF_000017425.1_ASM1742v1" "Bacillus cereus cytotoxis NVH 391-98" 13 13 13
"GCF_000021305.1_ASM2130v1" "Bacillus cereus G9842" 13 13 13
"GCF_000193355.1_ASM19335v1" "Bacillus thuringiensis sv. chinensis CT-43" 13 13 13
"GCF_000092165.1_ASM9216v1" "Bacillus thuringiensis BMB171" 14 14 14
"GCF_000190515.1_ASM19051v1" "Bacillus thuringiensis sv. finitimus YBT-020" 14 14 14
"GCF_000008005.1_ASM800v1" "Bacillus cereus ATCC 10987" 12 12 12
"GCF_000008165.1_ASM816v1" "Bacillus anthracis Sterne" 11 11 11
"GCF_000021785.1_ASM2178v1" "Bacillus cereus AH820" 12 12 12
"GCF_000283675.1_ASM28367v1" "Bacillus cereus NC7401" 14 14 14
"GCF_000018825.1_ASM1882v1" "Bacillus weihenstephanensis KBAB4" 14 14 14
"GCF_000225265.1_ASM22526v1" "Bacillus megaterium WSH-002" 11 11 11
"GCF_000025825.1_ASM2582v1" "Bacillus megaterium QM B1551" 12 12.33 12
"GCF_000217835.1_ASM21783v1" "Bacillus coagulans 2-6" 9 3.67 9
"GCF_000010585.1_ASM1058v1" "Macrococcus caseolyticus JCSC5402" 4 4.33 4
"GCF_000185885.1_ASM18588v1" "Staphylococcus pseudintermedius HKU10-03" 6 6.33 6
"GCF_000009405.1_ASM940v1" "Staphylococcus carnosus carnosus TM300" 5 5 5
"GCF_000010125.1_ASM1012v1" "Staphylococcus saprophyticus saprophyticus ATCC 15305" 6 6.67 6
"GCF_000009865.1_ASM986v1" "Staphylococcus haemolyticus JCSC1435" 5 5.33 5
"GCF_000025085.1_ASM2508v1" "Staphylococcus lugdunensis HKU09-01" 6 6.33 6
"GCF_000007645.1_ASM764v1" "Staphylococcus epidermidis ATCC 12228" 5 5.33 5
"GCF_000024585.1_ASM2458v1" "Staphylococcus aureus aureus ED98" 5 5.33 5
"GCF_000245495.1_ASM24549v1" "Staphylococcus aureus aureus VC40" 5 5.33 5
"GCF_001602155.1_ASM160215v1" "Erysipelothrix rhusiopathiae Fujisawa" 9 7 9
"GCF_000210615.1_ASM21061v1" "Eubacterium cylindroides T2-87" NA 1 1
"GCA_000210735.1_ASM21073v1" "Faecalibacterium prausnitzii L2-6" NA 0.67 1
"GCF_000179635.2_ASM17963v2" "Ruminococcus albus 7" 4 4 4
"GCF_000210095.1_ASM21009v1" "Ruminococcus sp. 18P13" NA 1 1
"GCF_000178115.2_ASM17811v2" "Ethanoligenens harbinense YUAN-3T, DSM 18485" 3 3 3
"GCF_000178835.2_ASM17883v2" "Cellulosilyticum lentocellum RHM5, DSM 5427" 11 12 11
"GCA_000210555.1_ASM21055v1" "Coprococcus catus GD/7" NA 0.67 1
"GCF_000146185.1_ASM14618v1" "Eubacterium eligens ATCC 27750" 5 5 5
"GCF_000145035.1_ASM14503v1" "Butyrivibrio proteoclasticus B316" 6 6 6
"GCF_000270305.1_ASM27030v1" "Clostridium sp. SY8519" 4 4 4
"GCA_000209815.1_ASM20981v1" "Butyrivibrio fibrisolvens 16/4" NA 0 1
"GCF_000225345.1_ASM22534v1" "Roseburia hominis A2-183, DSM 16839" 4 4 4
"GCA_000210655.1_ASM21065v1" "Roseburia intestinalis XB6B4" NA 0.67 1
"GCF_000020605.1_ASM2060v1" "Eubacterium rectale ATCC 33656" 5 5 5
"GCF_000144625.1_ASM14462v1" "Clostridium saccharolyticum WM1, DSM 2544" 6 6 6
"GCA_000210535.1_ASM21053v1" "Clostridium cf. saccharolyticum K10" NA 0.67 1
"GCA_000209895.1_ASM20989v1" "Clostridiales sp. SS3/4" NA 0 1
"GCF_000018685.1_ASM1868v1" "Clostridium phytofermentans ISDg" 8 8.33 8
"GCF_000247605.1_ASM24760v1" "Acetobacterium woodii WB1, DSM 1030" 5 5.33 5
"GCF_000152245.2_ASM15224v2" "Eubacterium limosum KIST612" 5 5.33 5
"GCF_000025225.2_ASM2522v1" "Clostridiales genomosp. BVAB3 UPII9-5" 2 2 2
"GCF_000244875.1_ASM24487v1" "Clostridium sp. BNL1100" 8 8 8
"GCF_000022065.1_ASM2206v1" "Clostridium cellulolyticum H10" 8 8 8
"GCF_000184925.1_ASM18492v1" "Clostridium thermocellum LQ8, DSM 1313" 4 4 4
"GCF_000237085.1_ASM23708v1" "Clostridium clariflavum EBR 45, DSM 19732" 6 6 6
"GCF_000016545.1_ASM1654v1" "Caldicellulosiruptor saccharolyticus DSM 8903" 3 3 3
"GCF_000166355.1_ASM16635v1" "Caldicellulosiruptor hydrothermalis 108" 3 3 3
"GCF_000166775.1_ASM16677v1" "Caldicellulosiruptor kronotskyensis 2002" 3 3 3
"GCF_000166695.1_ASM16669v1" "Caldicellulosiruptor kristjanssonii 177R1B, DSM 12137" 3 3 3
"GCF_000166335.1_ASM16633v1" "Caldicellulosiruptor owensensis OL" 3 3 3
"GCF_000145215.1_ASM14521v1" "Caldicellulosiruptor obsidiansis OB47" 3 3 3
"GCF_000213235.1_ASM21323v1" "Tepidanaerobacter sp. Re1" 2 2 2
"GCF_000144645.1_ASM14464v1" "Thermosediminibacter oceani JW/IW-1228P, DSM 16646" 3 3 3
"GCF_000166415.1_ASM16641v1" "Halanaerobium hydrogenoformans" 4 4 4
"GCF_000165465.1_ASM16546v1" "Halanaerobium praevalens GSL, DSM 2228" 4 4 4
"GCF_000020485.1_ASM2048v1" "Halothermothrix orenii H 168" 4 3.67 4
"GCF_000144695.1_ASM14469v1" "Acetohalobium arabaticum Z-7288, DSM 5501" 5 5 5
"GCF_000020005.1_ASM2000v1" "Natranaerobius thermophilus JW/NM-WN-LF" 4 4 4
"GCA_000219855.1_ASM21985v1" "Sulfobacillus acidophilus TPY" NA 5 5
"GCF_000184705.1_ASM18470v1" "Thermaerobacter marianensis 7p75a, DSM 12885" 2 2 2
"GCF_000009905.1_ASM990v1" "Symbiobacterium thermophilum IAM 14863" 6 6.33 6
"GCF_000195335.1_ASM19533v1" "Marinithermus hydrothermalis T1, DSM 14884" 3 2.33 3
"GCF_000183745.1_ASM18374v1" "Oceanithermus profundus 506, DSM 14977" 2 2 2
"GCF_000092125.1_ASM9212v1" "Meiothermus silvanus VI-R2, DSM 9946" 2 2 2
"GCF_000024425.1_ASM2442v1" "Meiothermus ruber 21, DSM 1279" 2 2 2
"GCF_000187005.1_ASM18700v1" "Thermus scotoductus SA-01, ATCC 700910" 1 2 1
"GCF_000309885.1_ASM30988v1" "Thermus oshimai JL-2" 2 2 2
"GCF_000236585.1_ASM23658v1" "Thermus sp. CCB_US3_UF1" 2 2 2
"GCF_000258245.1_ASM25824v1" "Thermus thermophilus JL-18" 2 2 2
"GCF_000091545.1_ASM9154v1" "Thermus thermophilus HB8" 2 2 2
"GCF_000186385.1_ASM18638v1" "Deinococcus maricopensis LB-34, DSM 21211" 4 4 4
"GCF_000317835.1_ASM31783v1" "Deinococcus peraridilitoris KR-200, DSM 19664" 4 4 4
"GCF_000252445.1_ASM25244v1" "Deinococcus gobiensis I-0, DSM 21396" 5 5 5
"GCF_000020685.1_ASM2068v1" "Deinococcus deserti VCD115" 4 4 4
"GCF_000008565.1_ASM856v1" "Deinococcus radiodurans ATCC BAA-816" 3 3 3
"GCF_000190555.1_ASM19055v1" "Deinococcus proteolyticus MRP, DSM 20540" 3 3 3
"GCF_000196275.1_ASM19627v1" "Deinococcus geothermalis DSM 11300" 4 4 4
"GCF_000092425.1_ASM9242v1" "Truepera radiovictrix RQ-24, DSM 17093" 2 2 2
"GCF_000011385.1_ASM1138v1" "Gloeobacter violaceus PCC 7421" 1 1 1
"GCF_000013225.1_ASM1322v1" "Synechococcus sp. JA-2-3B'a(2-13)" 2 2 2
"GCF_000013205.1_ASM1320v1" "Synechococcus sp. JA-3-3Ab" 2 2 2
"GCF_000063525.1_ASM6352v1" "Synechococcus sp. RCC307" 1 1 1
"GCF_000014585.1_ASM1458v1" "Synechococcus sp. CC9311" 2 2 2
"GCF_000063505.1_ASM6350v1" "Synechococcus sp. WH7803" 2 2 2
"GCF_000195975.1_ASM19597v1" "Synechococcus sp. WH8102" 2 2.33 2
"GCF_000012625.1_ASM1262v1" "Synechococcus sp. CC9605" 2 2 2
"GCF_000012505.1_ASM1250v1" "Synechococcus sp. CC9902" 2 2 2
"GCF_000018585.1_ASM1858v1" "Prochlorococcus sp. MIT9211" NA 1 1
"GCF_000011465.1_ASM1146v1" "Prochlorococcus marinus pastoris CCMP 1986" 1 2 1
"GCF_000015665.1_ASM1566v1" "Prochlorococcus sp. MIT9515" 1 1 1
"GCF_000018065.1_ASM1806v1" "Prochlorococcus sp. MIT9215" 1 1 1
"GCF_000015965.1_ASM1596v1" "Prochlorococcus sp. MIT9301" 1 1 1
"GCF_000015645.1_ASM1564v1" "Prochlorococcus sp. AS9601" 1 1 1
"GCF_000012645.1_ASM1264v1" "Prochlorococcus sp. MIT9312" 1 1 1
"GCF_000015685.1_ASM1568v1" "Prochlorococcus sp. NATL1A" 1 1 1
"GCF_000015705.1_ASM1570v1" "Prochlorococcus sp. MIT9303" 2 2 2
"GCF_000012525.1_ASM1252v1" "Synechococcus elongatus PCC 7942" 2 2 2
"GCF_000011345.1_ASM1134v1" "Thermosynechococcus elongatus BP-1" 1 1 1
"GCF_000022045.1_ASM2204v1" "Cyanothece sp. PCC 7425" 2 2 2
"GCF_000018105.1_ASM1810v1" "Acaryochloris marina MBIC11017" 2 2 2
"GCF_000014265.1_ASM1426v1" "Trichodesmium erythraeum IMS101" 2 1.67 2
"GCF_000210375.1_ASM21037v1" "Arthrospira platensis NIES-39" NA 2 2
"GCF_000020025.1_ASM2002v1" "Nostoc punctiforme PCC 73102" 4 4 4
"GCA_000204075.1_ASM20407v1" "Anabaena variabilis ATCC 29413" 4 4 4
"GCF_000196515.1_ASM19651v1" "Nostoc azollae 0708" 4 4 4
"GCF_000021805.1_ASM2180v1" "Cyanothece sp. PCC 8801" 2 2 2
"GCF_000017845.1_ASM1784v1" "Cyanothece sp. BH68, ATCC 51142" 2 2 2
"GCF_000010625.1_ASM1062v1" "Microcystis aeruginosa NIES-843" 2 2 2
"GCF_000021825.1_ASM2182v1" "Cyanothece sp. PCC 7424" 3 3 3
"GCF_000147335.1_ASM14733v1" "Cyanothece sp. PCC 7822" 3 3 3
"GCF_000019485.1_ASM1948v1" "Synechococcus sp. PCC 7002" 2 2 2
"GCF_000009725.1_ASM972v1" "Synechocystis sp. PCC 6803" 2 2 2
